Player,Team,Matches,Runs,Balls Faced,Batting_50s,Batting_100s,T(4s),T(6s),Overs,Runs_Given,Wickets,Batting_Average,StrikeRate,Bowling_Average,Bowling_SR,Economy
SC Ganguly,Kolkata Knight Riders,0.0,6,6,0,0,0,1,46.0,370,10,0.0,151.68968557155452,37.0,27.6,8.458106098165592
P Kumar,Royal Challengers Bangalore,0.0,2,2,0,0,0,0,417.0,3342,89,0.0,74.64788732394366,37.550561797752806,28.1123595505618,8.841524573721163
Z Khan,Royal Challengers Bangalore,0.0,1,1,0,0,0,0,364.0,2860,101,0.0,128.2035561005518,28.316831683168317,21.623762376237625,8.647058823529411
AA Noffke,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,4.0,41,1,0.0,100.0,41.0,24.0,6.670520231213873
JH Kallis,Royal Challengers Bangalore,0.0,8,9,0,0,1,0,290.0,2348,64,0.0,137.63066202090593,36.6875,27.1875,9.230769230769232
SB Joshi,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,9.0,82,1,0.0,0.0,82.0,54.0,10.021739130434783
DJ Hussey,Kolkata Knight Riders,0.0,6,5,0,0,1,0,52.0,485,8,0.0,50.0,60.625,39.0,7.936320754716981
CL White,Royal Challengers Bangalore,0.0,9,3,0,0,2,0,7.0,86,1,0.0,130.76923076923077,86.0,42.0,10.173913043478262
Mohammad Hafeez,Kolkata Knight Riders,8.0,0,0,0,0,0,0,10.0,71,2,0.0,140.50632911392404,35.5,30.0,10.0
AB Dinda,Kolkata Knight Riders,0.0,0,0,0,0,0,0,251.0,2103,69,0.0,86.36363636363636,30.47826086956522,21.82608695652174,6.884615384615385
I Sharma,Kolkata Knight Riders,0.0,0,0,0,0,0,0,383.0,3255,92,0.0,103.33333333333334,35.380434782608695,24.97826086956522,7.630283483279579
V Kohli,Royal Challengers Bangalore,0.0,19,18,0,0,1,1,40.0,371,4,0.0,116.46447140381282,92.75,60.0,8.443667763157896
AB Agarkar,Kolkata Knight Riders,0.0,2,3,0,0,0,0,130.0,1174,28,0.0,116.1676646706587,41.92857142857143,27.857142857142858,8.666666666666666
B Akhil,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,31.0,246,6,0.0,137.3846153846154,41.0,31.0,6.738816738816739
LR Shukla,Kolkata Knight Riders,0.0,0,0,0,0,0,0,51.0,458,14,0.0,106.4516129032258,32.714285714285715,21.857142857142858,7.462686567164179
B Lee,Kings XI Punjab,0.0,0,1,0,0,0,0,145.0,1126,23,0.0,138.46153846153845,48.95652173913044,37.82608695652174,9.221902017291066
S Sreesanth,Kings XI Punjab,0.0,0,0,0,0,0,0,145.0,1221,38,0.0,138.39464882943145,32.13157894736842,22.894736842105264,9.56802063185042
JR Hopes,Kings XI Punjab,0.0,0,1,0,0,0,0,60.0,562,13,0.0,79.3103448275862,43.23076923076923,27.692307692307693,8.799772468714448
IK Pathan,Kings XI Punjab,0.0,1,3,0,0,0,0,334.0,2711,77,0.0,126.5734265734266,35.20779220779221,26.025974025974026,8.8
SK Raina,Chennai Super Kings,0.0,23,21,0,0,2,1,148.0,1139,22,0.0,62.5,51.77272727272727,40.36363636363637,9.916666666666666
PP Chawla,Kings XI Punjab,0.0,1,2,0,0,0,0,637.0,5179,185,0.0,137.5,27.994594594594595,20.65945945945946,7.985074626865671
WA Mota,Kings XI Punjab,0.0,0,0,0,0,0,0,12.0,98,4,0.0,154.54545454545453,24.5,18.0,7.58761206193969
JDP Oram,Chennai Super Kings,0.0,0,1,0,0,0,0,39.0,362,8,0.0,124.17582417582418,45.25,29.25,7.882822902796272
MS Gony,Chennai Super Kings,0.0,0,1,0,0,0,0,148.0,1317,35,0.0,100.0,37.628571428571426,25.37142857142857,8.675742574257425
M Muralitharan,Chennai Super Kings,0.0,0,1,0,0,0,0,253.0,1765,63,0.0,133.33333333333331,28.015873015873016,24.095238095238095,10.516129032258064
Joginder Sharma,Chennai Super Kings,5.0,0,0,0,0,0,0,42.0,421,12,0.0,131.35593220338984,35.083333333333336,21.0,8.43661971830986
Yuvraj Singh,Kings XI Punjab,126.0,12,7,0,0,2,0,144.0,1091,34,0.09523809523809523,50.0,32.088235294117645,25.41176470588235,7.255567338282079
GD McGrath,Delhi Daredevils,0.0,0,0,0,0,0,0,54.0,366,12,0.0,123.42215988779805,30.5,27.0,8.1421647819063
YK Pathan,Rajasthan Royals,0.0,12,12,0,0,0,0,190.0,1443,40,0.0,57.14285714285714,36.075,28.5,8.428571428571429
SR Watson,Rajasthan Royals,0.0,16,12,0,0,3,0,335.0,2742,90,0.0,116.23376623376625,30.466666666666665,22.333333333333332,8.8909541511772
MF Maharoof,Delhi Daredevils,0.0,0,0,0,0,0,0,70.0,532,27,0.0,170.0,19.703703703703702,15.555555555555555,8.114583333333334
R Bhatia,Delhi Daredevils,0.0,0,0,0,0,0,0,271.0,2059,69,0.0,160.0,29.840579710144926,23.565217391304348,8.649940262843488
RA Jadeja,Rajasthan Royals,0.0,17,13,0,0,0,1,633.0,4917,153,0.0,80.0,32.13725490196079,24.823529411764707,8.95
DL Vettori,Delhi Daredevils,0.0,0,1,0,0,0,0,128.0,894,28,0.0,102.5,31.928571428571427,27.428571428571427,7.595399895452169
D Salunkhe,Rajasthan Royals,0.0,0,0,0,0,0,0,7.0,80,1,0.0,91.83673469387756,80.0,42.0,7.41565452091768
SK Warne,Rajasthan Royals,0.0,1,1,0,0,0,0,199.0,1465,52,0.0,141.98250728862973,28.173076923076923,22.96153846153846,9.007936507936508
SK Trivedi,Rajasthan Royals,0.0,0,1,0,0,0,0,248.0,1944,63,0.0,110.34482758620688,30.857142857142858,23.61904761904762,7.347417840375587
MM Patel,Rajasthan Royals,0.0,0,0,0,0,0,0,224.0,1733,71,0.0,125.42372881355932,24.408450704225352,18.929577464788732,8.800468110005852
V Sehwag,Delhi Daredevils,0.0,15,15,0,0,1,1,22.0,236,6,0.0,105.26315789473684,39.333333333333336,22.0,9.1
S Dhawan,Delhi Daredevils,0.0,33,22,0,0,5,1,8.0,72,4,0.0,71.42857142857143,18.0,12.0,9.33415536374846
ST Jayasuriya,Mumbai Indians,0.0,8,3,0,0,0,1,49.0,396,13,0.0,84.375,30.46153846153846,22.615384615384617,8.331838565022421
DJ Thornely,Mumbai Indians,0.0,0,0,0,0,0,0,7.0,40,2,0.0,110.57692307692308,20.0,21.0,10.452488687782806
R Vinay Kumar,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,351.0,3041,101,0.0,127.54473452625405,30.10891089108911,20.85148514851485,8.849182313749242
AM Nayar,Mumbai Indians,0.0,8,4,0,0,1,0,38.0,323,9,0.0,90.9307875894988,35.888888888888886,25.333333333333332,7.032998565279771
SM Pollock,Mumbai Indians,0.0,0,0,0,0,0,0,46.0,307,11,0.0,84.48275862068965,27.90909090909091,25.09090909090909,7.686185332575326
Harbhajan Singh,Mumbai Indians,88.0,9,5,0,0,2,0,568.0,4101,138,0.10227272727272728,20.0,29.717391304347824,24.695652173913043,8.90310786106033
A Nehra,Mumbai Indians,0.0,2,2,0,0,0,0,316.0,2537,104,0.0,57.14285714285714,24.39423076923077,18.23076923076923,8.55776306107432
DS Kulkarni,Mumbai Indians,0.0,0,0,0,0,0,0,294.0,2513,82,0.0,174.0,30.646341463414632,21.51219512195122,7.0
AC Gilchrist,Deccan Chargers,0.0,23,12,0,0,5,0,0.0,0,1,0.0,116.98113207547168,0.0,0.0,11.23404255319149
Y Venugopal Rao,Deccan Chargers,0.0,5,4,0,0,1,0,36.0,338,6,0.0,123.0,56.333333333333336,36.0,8.633279483037157
A Symonds,Deccan Chargers,0.0,1,5,0,0,0,0,87.0,694,19,0.0,129.86666666666667,36.526315789473685,27.473684210526315,8.216046615867324
M Kartik,Kolkata Knight Riders,0.0,1,1,0,0,0,0,191.0,1418,29,0.0,119.73684210526316,48.89655172413793,39.51724137931034,8.636363636363637
RG Sharma,Deccan Chargers,0.0,42,18,0,0,4,3,56.0,462,14,0.0,125.91304347826086,33.0,24.0,8.338068181818182
SB Styris,Deccan Chargers,0.0,0,1,0,0,0,0,36.0,278,8,0.0,125.0,34.75,27.0,9.049180327868852
SB Bangar,Deccan Chargers,0.0,0,0,0,0,0,0,25.0,221,4,0.0,74.46808510638297,55.25,37.5,13.86861313868613
WPUJC Vaas,Deccan Chargers,0.0,6,1,0,0,0,1,47.0,364,18,0.0,95.45454545454544,20.22222222222222,15.666666666666666,7.463352453792224
RP Singh,Deccan Chargers,28.0,0,0,0,0,0,0,293.0,2417,88,0.0,109.09090909090908,27.46590909090909,19.977272727272727,7.92989417989418
PP Ojha,Deccan Chargers,0.0,0,1,0,0,0,0,314.0,2399,89,0.0,100.0,26.95505617977528,21.168539325842698,9.5
Pankaj Singh,Rajasthan Royals,5.0,0,0,0,0,0,0,50.0,472,11,0.0,63.41463414634146,42.90909090909091,27.272727272727273,9.235294117647058
Mohammad Asif,Delhi Daredevils,2.0,0,0,0,0,0,0,32.0,307,7,0.0,129.8507462686567,43.857142857142854,27.428571428571427,7.3377028714107375
VY Mahesh,Delhi Daredevils,0.0,0,0,0,0,0,0,56.0,511,21,0.0,77.77777777777779,24.333333333333332,16.0,9.174603174603174
Shahid Afridi,Deccan Chargers,9.0,0,0,0,0,0,0,30.0,237,9,0.0,122.93577981651376,26.333333333333332,20.0,8.663755458515285
DJ Bravo,Mumbai Indians,0.0,14,8,0,0,1,1,513.0,4436,172,0.0,109.75609756097562,25.790697674418606,17.8953488372093,6.977928692699491
MA Khote,Mumbai Indians,0.0,0,0,0,0,0,0,5.0,52,2,0.0,115.78947368421052,26.0,15.0,8.366013071895425
D Kalyankrishna,Deccan Chargers,0.0,0,0,0,0,0,0,8.0,88,2,0.0,109.52380952380952,44.0,24.0,8.160377358490566
VRV Singh,Kings XI Punjab,0.0,0,0,0,0,0,0,60.0,549,12,0.0,76.59574468085107,45.75,30.0,7.555555555555555
Sohail Tanvir,Rajasthan Royals,5.0,1,1,0,0,0,0,41.0,275,22,0.2,114.4736842105263,12.5,11.181818181818182,9.14516129032258
A Kumble,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,159.0,1089,44,0.0,87.5,24.75,21.681818181818183,8.23076923076923
DNT Zoysa,Deccan Chargers,0.0,0,0,0,0,0,0,11.0,100,1,0.0,144.44444444444443,100.0,66.0,8.612521150592217
AM Rahane,Mumbai Indians,0.0,2,4,0,0,0,0,1.0,5,1,0.0,125.64102564102564,5.0,6.0,7.377928814165623
SD Chitnis,Mumbai Indians,0.0,6,1,0,0,0,1,6.0,62,2,0.0,120.0,31.0,18.0,8.67403314917127
Shoaib Malik,Delhi Daredevils,5.0,1,1,0,0,0,0,8.0,87,1,0.2,67.56756756756756,87.0,48.0,11.666666666666666
MK Tiwary,Delhi Daredevils,0.0,10,5,0,0,2,0,7.0,83,1,0.0,100.0,83.0,42.0,7.876680574872507
DW Steyn,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,361.0,2583,94,0.0,169.56521739130434,27.47872340425532,23.04255319148936,8.035961272475793
JA Morkel,Chennai Super Kings,0.0,8,4,0,0,0,1,286.0,2409,82,0.0,66.12903225806451,29.378048780487806,20.926829268292682,8.5
CRD Fernando,Mumbai Indians,0.0,0,0,0,0,0,0,39.0,306,16,0.0,145.0777202072539,19.125,14.625,9.52
Umar Gul,Kolkata Knight Riders,4.0,0,0,0,0,0,0,22.0,198,12,0.0,90.0,16.5,11.0,8.435897435897436
BJ Hodge,Kolkata Knight Riders,0.0,1,6,0,0,0,0,39.0,310,17,0.0,54.166666666666664,18.235294117647058,13.764705882352942,8.7192851824274
S Vidyut,Chennai Super Kings,0.0,0,0,0,0,0,0,2.0,22,1,0.0,112.64044943820224,22.0,12.0,9.015384615384615
PJ Sangwan,Delhi Daredevils,0.0,0,0,0,0,0,0,142.0,1267,38,0.0,30.0,33.3421052631579,22.42105263157895,8.26530612244898
M Ntini,Chennai Super Kings,0.0,0,0,0,0,0,0,35.0,257,7,0.0,144.1860465116279,36.714285714285715,30.0,14.5
DB Ravi Teja,Deccan Chargers,0.0,2,2,0,0,0,0,3.0,28,1,0.0,155.0,28.0,18.0,7.841004184100418
DP Vijaykumar,Deccan Chargers,0.0,0,0,0,0,0,0,25.0,205,4,0.0,130.81180811808116,51.25,37.5,9.62264150943396
RR Raje,Mumbai Indians,0.0,0,0,0,0,0,0,22.0,214,6,0.0,132.11920529801324,35.666666666666664,22.0,6.666666666666667
L Balaji,Chennai Super Kings,0.0,0,0,0,0,0,0,248.0,2083,74,0.0,81.17647058823529,28.14864864864865,20.10810810810811,8.004434589800443
DR Smith,Mumbai Indians,0.0,6,9,0,0,1,0,89.0,825,26,0.0,128.05280528052805,31.73076923076923,20.53846153846154,8.2
AD Mascarenhas,Rajasthan Royals,0.0,0,0,0,0,0,0,51.0,365,18,0.0,70.0,20.27777777777778,17.0,9.869565217391305
TM Dilshan,Delhi Daredevils,0.0,15,6,0,0,3,0,45.0,368,5,0.0,138.1818181818182,73.6,54.0,7.773809523809524
A Mishra,Delhi Daredevils,0.0,1,2,0,0,0,0,559.0,4193,170,0.0,71.42857142857143,24.66470588235294,19.729411764705883,9.566787003610107
Iqbal Abdulla,Kolkata Knight Riders,13.0,1,2,0,0,0,0,152.0,1125,38,0.07692307692307693,91.42857142857144,29.605263157894736,24.0,8.028776978417266
Shoaib Akhtar,Kolkata Knight Riders,1.0,0,0,0,0,0,0,7.0,54,5,0.0,168.79432624113474,10.8,8.4,8.468441519593181
RR Powar,Kings XI Punjab,0.0,0,0,0,0,0,0,71.0,538,13,0.0,114.28571428571428,41.38461538461539,32.76923076923077,8.460354118552733
PM Sarvesh Kumar,Deccan Chargers,1.0,0,0,0,0,0,0,5.0,42,1,0.0,38.46153846153847,42.0,30.0,6.25
BAW Mendis,Kolkata Knight Riders,0.0,0,0,0,0,0,0,40.0,306,7,0.0,137.85714285714286,43.714285714285715,34.285714285714285,9.325664418881397
T Thushara,Chennai Super Kings,0.0,0,0,0,0,0,0,22.0,164,8,0.0,133.9541547277937,20.5,16.5,10.541666666666666
A Flintoff,Chennai Super Kings,0.0,0,0,0,0,0,0,11.0,106,1,0.0,33.33333333333333,106.0,66.0,8.89655172413793
JP Duminy,Mumbai Indians,0.0,3,5,0,0,0,0,112.0,847,21,0.0,145.0261780104712,40.333333333333336,32.0,8.75
SL Malinga,Mumbai Indians,0.0,0,0,0,0,0,0,464.0,3486,164,0.0,111.55378486055776,21.25609756097561,16.975609756097562,9.68421052631579
JD Ryder,Royal Challengers Bangalore,0.0,8,3,0,0,2,0,39.0,314,8,0.0,85.71428571428571,39.25,29.25,13.25
KP Pietersen,Royal Challengers Bangalore,0.0,1,1,0,0,0,0,29.0,218,7,0.0,95.28619528619528,31.142857142857142,24.857142857142858,7.901498929336188
Kamran Khan,Rajasthan Royals,1.0,0,0,0,0,0,0,27.0,248,10,0.0,250.0,24.8,16.2,8.026565464895635
T Henderson,Rajasthan Royals,0.0,0,1,0,0,0,0,6.0,41,1,0.0,110.61946902654869,41.0,36.0,7.821428571428571
RS Bopara,Kings XI Punjab,0.0,0,0,0,0,0,0,34.0,301,8,0.0,152.03252032520325,37.625,25.5,9.671440606571188
DP Nannes,Delhi Daredevils,0.0,0,0,0,0,0,0,106.0,815,27,0.0,94.5945945945946,30.185185185185187,23.555555555555557,10.098039215686274
YA Abdulla,Kings XI Punjab,0.0,0,0,0,0,0,0,34.0,311,15,0.0,163.63636363636363,20.733333333333334,13.6,8.140576869224308
VS Malik,Kings XI Punjab,0.0,0,0,0,0,0,0,34.0,268,6,0.0,125.22361359570662,44.666666666666664,34.0,11.01522842639594
FH Edwards,Deccan Chargers,0.0,0,0,0,0,0,0,22.0,160,5,0.0,100.0,32.0,26.4,7.705882352941177
CH Gayle,Kolkata Knight Riders,0.0,41,15,0,0,1,5,90.0,755,18,0.0,131.74748398902105,41.94444444444444,30.0,8.513513513513512
Harmeet Singh,Deccan Chargers,4.0,0,0,0,0,0,0,90.0,747,25,0.0,127.83505154639174,29.88,21.6,7.545454545454546
MC Henriques,Kolkata Knight Riders,0.0,4,3,0,0,1,0,157.0,1302,41,0.0,83.76068376068376,31.75609756097561,22.975609756097562,6.846153846153846
KV Sharma,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,244.0,2130,73,0.0,160.2836879432624,29.17808219178082,20.054794520547944,7.9187455452601565
PC Valthaty,Rajasthan Royals,0.0,6,4,0,0,1,0,25.0,207,7,0.0,126.35761589403972,29.571428571428573,21.428571428571427,8.94308943089431
Anureet Singh,Kings XI Punjab,8.0,0,0,0,0,0,0,67.0,636,18,0.0,163.06306306306303,35.333333333333336,22.333333333333332,9.25373134328358
KP Appanna,Royal Challengers Bangalore,3.0,0,0,0,0,0,0,36.0,291,9,0.0,69.56521739130434,32.333333333333336,24.0,9.333333333333334
Shoaib Ahmed,Deccan Chargers,3.0,0,0,0,0,0,0,17.0,154,5,0.0,153.84615384615387,30.8,20.4,14.0
RE van der Merwe,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,73.0,515,19,0.0,110.95890410958904,27.105263157894736,23.05263157894737,5.238095238095238
TL Suman,Deccan Chargers,0.0,0,2,0,0,0,0,25.0,198,6,0.0,78.94736842105263,33.0,25.0,9.0
S Tyagi,Chennai Super Kings,0.0,0,0,0,0,0,0,35.0,304,6,0.0,88.88888888888889,50.666666666666664,35.0,10.0
GR Napier,Mumbai Indians,0.0,0,0,0,0,0,0,4.0,28,1,0.0,64.51612903225806,28.0,24.0,8.894736842105264
SM Harwood,Rajasthan Royals,0.0,1,1,0,0,0,0,10.0,74,3,0.0,0.0,24.666666666666668,20.0,8.075772681954138
LA Carseldine,Rajasthan Royals,0.0,1,2,0,0,0,0,1.0,6,1,0.0,99.74424552429667,6.0,6.0,7.785714285714286
SB Jakati,Chennai Super Kings,0.0,0,0,0,0,0,0,180.0,1474,45,0.0,112.66666666666669,32.75555555555555,24.0,8.656126482213438
D du Preez,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,7.0,56,4,0.0,148.96489648964896,14.0,10.5,10.06079027355623
RJ Harris,Deccan Chargers,0.0,1,1,0,0,0,0,138.0,1085,43,0.0,105.1948051948052,25.232558139534884,19.25581395348837,8.25
A Singh,Rajasthan Royals,0.0,0,1,0,0,0,0,77.0,639,28,0.0,140.63492063492063,22.821428571428573,16.5,7.0
