Player,Team,Matches,Runs,Balls Faced,Batting_50s,Batting_100s,T(4s),T(6s),Overs,Runs_Given,Wickets,Batting_Average,Batting_SR,Bowling_Average,Bowling_SR,Economy
Mohammad Hafeez,Kolkata Knight Riders,8,0,0,0,0,0,0,10.0,71,2,0.0,77.10843373493977,35.5,30.0,6.8
Joginder Sharma,Chennai Super Kings,5,0,0,0,0,0,0,42.0,421,12,0.0,120.0,35.083333333333336,21.0,9.882075471698114
Yuvraj Singh,Kings XI Punjab,126,12,7,0,0,2,0,144.0,1091,34,0.35294117647058826,129.7169811320755,32.088235294117645,25.41176470588235,7.453287197231834
Harbhajan Singh,Mumbai Indians,88,9,5,0,0,2,0,568.0,4101,138,0.06521739130434782,137.9139072847682,29.717391304347824,24.695652173913043,7.085091420534459
RP Singh,Deccan Chargers,28,0,0,0,0,0,0,293.0,2417,88,0.0,68.42105263157895,27.46590909090909,19.977272727272727,7.944274549779137
Pankaj Singh,Rajasthan Royals,5,0,0,0,0,0,0,50.0,472,11,0.0,58.333333333333336,42.90909090909091,27.272727272727273,9.36
Mohammad Asif,Delhi Daredevils,2,0,0,0,0,0,0,32.0,307,7,0.0,50.0,43.857142857142854,27.428571428571427,9.25
Shahid Afridi,Deccan Chargers,9,0,0,0,0,0,0,30.0,237,9,0.0,176.08695652173913,26.333333333333332,20.0,7.5
Sohail Tanvir,Rajasthan Royals,5,1,1,0,0,0,0,41.0,275,22,0.045454545454545456,124.13793103448276,12.5,11.181818181818182,6.472019464720194
Shoaib Malik,Delhi Daredevils,5,1,1,0,0,0,0,8.0,87,1,1.0,110.63829787234044,87.0,48.0,10.240963855421686
Umar Gul,Kolkata Knight Riders,4,0,0,0,0,0,0,22.0,198,12,0.0,205.26315789473685,16.5,11.0,8.251121076233183
Iqbal Abdulla,Kolkata Knight Riders,13,1,2,0,0,0,0,152.0,1125,38,0.02631578947368421,104.76190476190476,29.605263157894736,24.0,7.257853403141361
Shoaib Akhtar,Kolkata Knight Riders,1,0,0,0,0,0,0,7.0,54,5,0.0,28.57142857142857,10.8,8.4,7.714285714285714
PM Sarvesh Kumar,Deccan Chargers,1,0,0,0,0,0,0,5.0,42,1,0.0,50.0,42.0,30.0,8.4
Kamran Khan,Rajasthan Royals,1,0,0,0,0,0,0,27.0,248,10,0.0,60.0,24.8,16.2,8.484848484848484
Harmeet Singh,Deccan Chargers,4,0,0,0,0,0,0,90.0,747,25,0.0,150.0,29.88,21.6,8.04180418041804
Anureet Singh,Kings XI Punjab,8,0,0,0,0,0,0,67.0,636,18,0.0,76.59574468085107,35.333333333333336,22.333333333333332,9.161764705882351
KP Appanna,Royal Challengers Bangalore,3,0,0,0,0,0,0,36.0,291,9,0.0,50.0,32.333333333333336,24.0,7.944444444444445
Shoaib Ahmed,Deccan Chargers,3,0,0,0,0,0,0,17.0,154,5,0.0,16.666666666666664,30.8,20.4,8.941176470588236
Jaskaran Singh,Deccan Chargers,4,0,0,0,0,0,0,17.0,174,6,0.0,72.72727272727273,29.0,17.0,10.058823529411764
Bipul Sharma,Kings XI Punjab,17,0,0,0,0,0,0,70.0,581,17,0.0,152.03252032520325,34.1764705882353,24.705882352941178,8.101983002832862
Shakib Al Hasan,Kolkata Knight Riders,52,7,4,0,0,1,0,246.0,1864,61,0.11475409836065574,124.48979591836736,30.557377049180328,24.19672131147541,7.451377633711508
Ankit Sharma,Deccan Chargers,10,0,0,0,0,0,0,61.0,453,12,0.0,129.8507462686567,37.75,30.5,7.364975450081832
Azhar Mahmood,Kings XI Punjab,21,0,0,0,0,0,0,87.0,707,28,0.0,128.05280528052805,25.25,18.642857142857142,7.909604519774011
Mohammed Shami,Kolkata Knight Riders,23,0,0,0,0,0,0,403.0,3486,125,0.0,93.67088607594935,27.888,19.344,8.458106098165592
Sandeep Sharma,Kings XI Punjab,25,1,1,0,0,0,0,468.0,3758,133,0.007518796992481203,77.14285714285715,28.25563909774436,21.112781954887218,7.876680574872507
Parvez Rasool,Pune Warriors,4,0,0,0,0,0,0,33.0,273,4,0.0,85.0,68.25,49.5,8.212121212121213
Sachin Baby,Rajasthan Royals,11,2,3,0,0,0,0,1.0,8,2,1.0,122.03389830508476,4.0,3.0,5.714285714285714
Shivam Sharma,Kings XI Punjab,2,0,0,0,0,0,0,19.0,165,4,0.0,166.66666666666669,41.25,28.5,8.68421052631579
Imran Tahir,Delhi Daredevils,8,0,0,0,0,0,0,217.0,1729,77,0.0,89.1891891891892,22.454545454545453,16.90909090909091,7.797619047619047
Karanveer Singh,Kings XI Punjab,4,0,0,0,0,0,0,34.0,323,12,0.0,70.58823529411765,26.916666666666668,17.0,9.441176470588236
KC Cariappa,Kings XI Punjab,5,0,0,0,0,0,0,36.0,349,7,0.0,114.28571428571428,49.857142857142854,30.857142857142858,9.666666666666666
Mustafizur Rahman,Mumbai Indians,6,0,0,0,0,0,0,211.0,1792,59,0.0,56.52173913043478,30.372881355932204,21.45762711864407,8.004434589800443
Kuldeep Yadav,Kolkata Knight Riders,27,0,0,0,0,0,0,290.0,2413,80,0.0,77.71428571428571,30.1625,21.75,8.1421647819063
Swapnil Singh,Kings XI Punjab,4,0,0,0,0,0,0,27.0,241,6,0.0,58.333333333333336,40.166666666666664,27.0,9.0
Rashid Khan,Sunrisers Hyderabad,50,9,6,0,0,2,0,476.0,3340,147,0.061224489795918366,166.54135338345867,22.72108843537415,19.428571428571427,6.670520231213873
T Natarajan,Sunrisers Hyderabad,2,0,0,0,0,0,0,221.0,2001,66,0.0,60.0,30.318181818181817,20.09090909090909,8.800468110005852
Basil Thampi,Gujarat Lions,7,0,0,0,0,0,0,85.0,862,21,0.0,91.42857142857144,41.04761904761905,24.285714285714285,9.825783972125434
Mohammad Nabi,Sunrisers Hyderabad,14,6,1,0,0,0,1,68.0,527,15,0.4,151.26050420168067,35.13333333333333,27.2,7.195767195767195
Mohammed Siraj,Royal Challengers Bangalore,19,0,2,0,0,0,0,325.0,2894,92,0.0,87.38738738738738,31.456521739130434,21.195652173913043,8.55776306107432
Washington Sundar,Rising Pune Supergiant,37,1,1,0,0,0,0,175.0,1335,35,0.02857142857142857,116.66666666666669,38.142857142857146,30.0,7.347417840375587
Ankit Soni,Gujarat Lions,3,0,0,0,0,0,0,18.0,145,2,0.0,77.77777777777779,72.5,54.0,7.955801104972375
Avesh Khan,Delhi Capitals,7,0,0,0,0,0,0,221.0,2010,72,0.0,155.0,27.916666666666668,18.416666666666668,8.649940262843488
Mujeeb Ur Rahman,Kings XI Punjab,6,0,0,0,0,0,0,72.0,598,19,0.0,80.0,31.473684210526315,22.736842105263158,8.199445983379501
Shivam Mavi,Kolkata Knight Riders,11,0,0,0,0,0,0,108.0,958,29,0.0,91.07142857142856,33.03448275862069,22.344827586206897,8.714153561517115
KM Asif,Rajasthan Royals,1,0,0,0,0,0,0,22.0,232,7,0.0,0.0,33.142857142857146,18.857142857142858,10.452488687782806
Abhishek Sharma,Delhi Daredevils,45,8,4,0,0,0,1,45.0,396,11,0.7272727272727273,137.3846153846154,36.0,24.545454545454547,8.894736842105264
Navdeep Saini,Royal Challengers Bangalore,7,0,0,0,0,0,0,108.0,968,24,0.0,89.1891891891892,40.333333333333336,27.0,8.90310786106033
Rasikh Salam,Mumbai Indians,2,0,0,0,0,0,0,32.0,341,9,0.0,120.0,37.888888888888886,21.333333333333332,8.75
Arshdeep Singh,Kings XI Punjab,10,0,0,0,0,0,0,223.0,2097,72,0.0,67.56756756756756,29.125,18.583333333333332,8.799772468714448
Harpreet Brar,Kings XI Punjab,17,0,0,0,0,0,0,113.0,907,25,0.0,116.1764705882353,36.28,27.12,7.882822902796272
Ravi Bishnoi,Kings XI Punjab,11,0,0,0,0,0,0,234.0,1861,61,0.0,63.63636363636363,30.508196721311474,23.016393442622952,7.595399895452169
Abdul Samad,Sunrisers Hyderabad,27,5,3,0,0,1,0,9.0,113,2,2.5,137.63066202090593,56.5,27.0,12.555555555555555
Kartik Tyagi,Rajasthan Royals,6,0,0,0,0,0,0,70.0,720,15,0.0,81.25,48.0,28.0,10.06079027355623
Shahbaz Ahmed,Royal Challengers Bangalore,25,1,2,0,0,0,0,89.0,850,20,0.05,117.15328467153286,42.5,26.7,9.14516129032258
Lalit Yadav,Delhi Capitals,19,11,5,0,0,1,1,48.0,430,9,1.2222222222222223,106.11510791366908,47.77777777777778,32.0,8.2
Umran Malik,Sunrisers Hyderabad,5,6,1,0,0,0,1,82.0,785,27,0.2222222222222222,143.75,29.074074074074073,18.22222222222222,9.33415536374846
Akash Deep,Royal Challengers Bangalore,2,0,0,0,0,0,0,26.0,324,6,0.0,170.0,54.0,26.0,11.23404255319149
Mohsin Khan,Lucknow Super Giants,4,0,0,0,0,0,0,81.0,698,27,0.0,100.0,25.85185185185185,18.0,7.069767441860465
Mukesh Choudhary,Chennai Super Kings,2,0,0,0,0,0,0,46.0,452,16,0.0,100.0,28.25,17.25,9.3598233995585
Ramandeep Singh,Mumbai Indians,4,6,2,0,0,0,1,6.0,64,5,1.2,112.5,12.8,7.2,9.0
Yash Dayal,Gujarat Titans,1,0,0,0,0,0,0,96.0,933,28,0.0,0.0,33.32142857142857,20.571428571428573,10.021739130434783
Shashank Singh,Sunrisers Hyderabad,5,0,0,0,0,0,0,3.0,25,1,0.0,146.80851063829786,25.0,18.0,10.0
Harshit Rana,Kolkata Knight Riders,3,0,0,0,0,0,0,64.0,590,24,0.0,66.66666666666666,24.583333333333332,16.0,9.0
Simarjeet Singh,Chennai Super Kings,3,0,0,0,0,0,0,30.0,265,9,0.0,87.5,29.444444444444443,20.0,7.666666666666667
Fazalhaq Farooqi,Sunrisers Hyderabad,2,0,0,0,0,0,0,25.0,229,6,0.0,23.076923076923077,38.166666666666664,25.0,9.007936507936508
Sikandar Raza,Punjab Kings,7,0,0,0,0,0,0,14.0,146,3,0.0,141.83673469387753,48.666666666666664,28.0,9.916666666666666
Mukesh Kumar,Delhi Capitals,3,0,0,0,0,0,0,66.0,707,22,0.0,77.77777777777779,32.13636363636363,18.0,10.516129032258064
Arshad Khan,Mumbai Indians,3,0,0,0,0,0,0,21.0,282,5,0.0,120.0,56.4,25.2,13.86861313868613
Vijaykumar Vyshak,Royal Challengers Bangalore,2,0,0,0,0,0,0,38.0,396,13,0.0,144.44444444444443,30.46153846153846,17.53846153846154,10.541666666666666
