Player,Team,X(RAB),x(Bowl),x(SR),x(4),x(6),x(OP),x(VNU),x(W/L),T(50),T(100),T.RAB,TBF,Avg.Run,Avg.SR,RF(50s),RF(100s),L,W,D,x(Over),x(Run),X(Wic),x(Mdn),x(ECN),T(4s),T(6s),T.over,T.Run.Given,T.Wic,T.Mdn,T.ECN,T.Win,T.Loss,Avg.RAB,Avg.BF,Avg.SR,Avg.over,Avg.Run.Given,Avg.Wic,Avg.Mdn,Avg.ECN,Avg.Win,Avg.loss,Win(in percent),Loss(in percent)
SC Ganguly,Kolkata Knight Riders,6,6,0.0,0,0,Deccan Chargers,Unknown,L,0,0,6,6,0.11538461538461539,100.0,0.0,0.0,35,21,1,0,17,0,0,0,0,1,46.0,370,10,0,8.043478260869565,21,35,0.10714285714285714,0.10714285714285714,100.0,2.3,18.5,0.5,0.0,8.043478260869565,0.3684210526315789,0.6140350877192983,36.84210526315789,61.40350877192983
P Kumar,Royal Challengers Bangalore,2,2,0.0,0,0,Kolkata Knight Riders,Unknown,L,0,0,2,2,0.058823529411764705,100.0,0.0,0.0,61,58,0,0,25,2,0,0,0,0,417.0,3342,89,14,8.014388489208633,58,61,0.03508771929824561,0.03508771929824561,100.0,3.504201680672269,28.084033613445378,0.7478991596638656,0.11764705882352941,8.014388489208633,0.48739495798319327,0.5126050420168067,48.739495798319325,51.26050420168067
BB McCullum,Kolkata Knight Riders,25,14,0.0,0,0,Deccan Chargers,Unknown,W,0,0,25,14,0.24509803921568626,178.57142857142858,0.0,0.0,53,54,2,0,0,0,0,0,3,2,0.0,0,0,0,0.0,54,53,0.22935779816513763,0.12844036697247707,178.57142857142858,0.0,0.0,0.0,0.0,0.0,0.4954128440366973,0.48623853211009177,49.54128440366973,48.62385321100918
Z Khan,Royal Challengers Bangalore,1,1,0.0,0,0,Kolkata Knight Riders,Unknown,W,0,0,1,1,0.07142857142857142,100.0,0.0,0.0,49,50,0,0,32,2,0,0,0,0,364.0,2860,101,6,7.857142857142857,50,49,0.037037037037037035,0.037037037037037035,100.0,3.676767676767677,28.88888888888889,1.02020202020202,0.06060606060606061,7.857142857142857,0.5050505050505051,0.494949494949495,50.505050505050505,49.494949494949495
AA Noffke,Royal Challengers Bangalore,0,0,0.0,0,0,Kolkata Knight Riders,Unknown,L,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,41,1,0,0,0,0,4.0,41,1,0,10.25,0,1,0.0,0.0,0.0,4.0,41.0,1.0,0.0,10.25,0.0,1.0,0.0,100.0
RT Ponting,Kolkata Knight Riders,0,0,0.0,0,0,Deccan Chargers,Unknown,W,0,0,0,0,0.0,0.0,0.0,0.0,4,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,55.55555555555556,44.44444444444444
JH Kallis,Royal Challengers Bangalore,8,9,0.0,0,0,Kolkata Knight Riders,Unknown,W,0,0,8,9,0.0963855421686747,88.88888888888889,0.0,0.0,48,49,1,0,38,0,0,0,1,0,290.0,2348,64,3,8.096551724137932,49,48,0.08421052631578947,0.09473684210526316,88.88888888888889,3.258426966292135,26.382022471910112,0.7191011235955056,0.033707865168539325,8.096551724137932,0.5,0.4897959183673469,50.0,48.97959183673469
SB Joshi,Royal Challengers Bangalore,0,0,0.0,0,0,Kolkata Knight Riders,Unknown,L,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0,0,19,0,0,0,0,0,9.0,82,1,0,9.11111111111111,1,3,0.0,0.0,0.0,2.25,20.5,0.25,0.0,9.11111111111111,0.25,0.75,25.0,75.0
DJ Hussey,Kolkata Knight Riders,6,5,0.0,0,0,Deccan Chargers,Unknown,L,0,0,6,5,0.13043478260869565,120.0,0.0,0.0,33,28,0,0,38,2,0,0,1,0,52.0,485,8,0,9.326923076923077,28,33,0.09836065573770492,0.08196721311475409,120.0,2.0,18.653846153846153,0.3076923076923077,0.0,9.326923076923077,0.45901639344262296,0.5409836065573771,45.90163934426229,54.09836065573771
CL White,Royal Challengers Bangalore,9,3,0.0,0,0,Deccan Chargers,Unknown,L,0,0,9,3,0.2647058823529412,300.0,0.0,0.0,28,16,1,0,14,1,0,0,2,0,7.0,86,1,0,12.285714285714286,16,28,0.2,0.06666666666666667,300.0,1.1666666666666667,14.333333333333334,0.16666666666666666,0.0,12.285714285714286,0.35555555555555557,0.6222222222222222,35.55555555555556,62.22222222222222
