Player,T.RAB,TBF,T.50,T.100,T.4,T.6,Avg.RAB,Avg.BF,Avg.SR,RF.50,RF.100,T.over,T.Run.Given,T.Wic,T.Mdn,T.ECN,Avg.over,Avg.Run.Given,Avg.Wic,Avg.Mdn,Avg.ECN,T.Win,T.Loss,Win%,Loss%,Unique.OP,Venues,Matches
SC Ganguly,1349,1236,5,0,137,42,24.089285714285715,22.071428571428573,109.14239482200647,0.08928571428571429,0.0,46.2,370,12,5,8.014440433213016,2.3083333333333274,18.5,0.6,0.25,0.4007220216606508,21,36,36.84210526315789,63.1578947368421,8,1,57
P Kumar,340,307,0,0,22,17,5.964912280701754,5.385964912280702,110.74918566775244,0.0,0.0,420.8,3342,102,50,7.941386138613618,3.5364145658264388,28.084033613445378,0.8571428571428571,0.42016806722689076,0.0667343372992741,58,61,48.739495798319325,51.26050420168067,12,1,119
BB McCullum,2882,2138,10,0,293,130,26.440366972477065,19.61467889908257,134.79887745556596,0.09174311926605505,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,54,55,49.54128440366973,50.45871559633027,12,1,109
Z Khan,117,138,0,0,11,2,4.333333333333333,5.111111111111111,84.78260869565217,0.0,0.0,367.0,2860,119,40,7.792915531335006,3.7070707070707756,28.88888888888889,1.202020202020202,0.40404040404040403,0.0787163184983334,50,49,50.505050505050505,49.494949494949495,14,1,99
AA Noffke,9,10,0,0,1,0,9.0,10.0,90.0,0.0,0.0,4.0,41,1,0,10.250000000000005,3.9999999999999982,41.0,1.0,0.0,10.250000000000005,0,1,0.0,100.0,1,1,1
RT Ponting,91,123,0,0,5,2,10.11111111111111,13.666666666666666,73.98373983739837,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,55.55555555555556,44.44444444444444,7,1,9
JH Kallis,2427,2191,11,0,255,44,25.54736842105263,23.063157894736843,110.77133728890918,0.11578947368421053,0.0,291.8,2348,74,27,8.045688178183944,3.2790262172284446,26.382022471910112,0.8314606741573034,0.30337078651685395,0.09040099076611173,49,49,50.0,50.0,11,1,98
SB Joshi,6,14,0,0,0,0,3.0,7.0,42.857142857142854,0.0,0.0,9.2,82,1,1,8.945454545454544,2.291666666666667,20.5,0.25,0.25,2.236363636363636,1,3,25.0,75.0,4,1,4
DJ Hussey,1322,1055,1,0,90,60,21.672131147540984,17.295081967213115,125.30805687203792,0.01639344262295082,0.0,52.8,485,10,6,9.179810725552088,2.032051282051274,18.653846153846153,0.38461538461538464,0.23076923076923078,0.3530696432904649,28,33,45.90163934426229,54.09836065573771,11,1,61
CL White,971,752,5,0,76,38,21.57777777777778,16.711111111111112,129.12234042553192,0.1111111111111111,0.0,7.0,86,1,0,12.28571428571428,1.1666666666666672,14.333333333333334,0.16666666666666666,0.0,2.0476190476190466,16,29,35.55555555555556,64.44444444444444,10,1,45
Mohammad Hafeez,64,79,0,0,7,2,8.0,9.875,81.0126582278481,0.0,0.0,10.2,71,2,1,6.983606557377051,2.541666666666666,17.75,0.5,0.25,1.7459016393442628,3,5,37.5,62.5,6,1,8
R Dravid,2174,1848,10,0,269,28,26.51219512195122,22.536585365853657,117.64069264069263,0.12195121951219512,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,37,45,45.1219512195122,54.87804878048781,11,1,82
AB Dinda,26,46,0,0,2,0,1.625,2.875,56.52173913043478,0.0,0.0,255.0,2103,82,29,8.2470588235296,3.399999999999923,28.04,1.0933333333333333,0.38666666666666666,0.109960784313728,27,49,35.526315789473685,64.47368421052632,11,1,76
W Jaffer,130,120,1,0,14,3,16.25,15.0,108.33333333333333,0.125,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,37.5,62.5,7,1,8
I Sharma,57,67,0,0,4,2,2.7142857142857144,3.1904761904761907,85.07462686567165,0.0,0.0,388.7,3255,96,46,8.374785591766525,3.533333333333417,29.59090909090909,0.8727272727272727,0.41818181818181815,0.07613441447060477,47,63,42.72727272727273,57.27272727272727,17,1,110
V Kohli,8014,6013,39,4,708,273,32.84426229508197,24.64344262295082,133.27789788790955,0.1598360655737705,0.01639344262295082,42.8,371,5,2,8.661478599221804,1.6474358974358947,14.26923076923077,0.19230769230769232,0.07692307692307693,0.3331337922777617,115,130,46.93877551020408,53.06122448979592,17,1,245
AB Agarkar,179,150,0,0,13,5,9.944444444444445,8.333333333333334,119.33333333333334,0.0,0.0,130.7,1174,33,15,8.984693877550932,3.111111111111142,27.952380952380953,0.7857142857142857,0.35714285714285715,0.2139212827988317,16,26,38.095238095238095,61.904761904761905,9,1,42
MV Boucher,394,301,0,0,32,13,17.130434782608695,13.08695652173913,130.8970099667774,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,14,39.130434782608695,60.86956521739131,9,1,23
B Akhil,76,53,0,0,5,5,6.909090909090909,4.818181818181818,143.39622641509433,0.0,0.0,31.5,246,7,2,7.809523809523788,2.4230769230769296,18.923076923076923,0.5384615384615384,0.15384615384615385,0.600732600732599,9,6,60.0,40.0,6,1,15
LR Shukla,405,336,0,0,33,16,12.272727272727273,10.181818181818182,120.53571428571428,0.0,0.0,52.7,458,17,6,8.696202531645604,1.9506172839506095,16.962962962962962,0.6296296296296297,0.2222222222222222,0.32208157524613346,19,24,44.18604651162791,55.81395348837209,10,1,43
PA Patel,2848,2293,9,0,365,49,20.941176470588236,16.860294117647058,124.20409943305712,0.0661764705882353,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,67,69,49.26470588235294,50.73529411764706,14,1,136
B Lee,124,95,0,0,8,8,6.526315789473684,5.0,130.5263157894737,0.0,0.0,148.0,1126,30,21,7.608108108108092,3.8947368421052713,29.63157894736842,0.7894736842105263,0.5526315789473685,0.20021337126600242,20,18,52.63157894736842,47.368421052631575,10,1,38
ML Hayden,1107,782,4,0,121,44,34.59375,24.4375,141.56010230179027,0.125,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20,12,62.5,37.5,7,1,32
S Sreesanth,34,50,0,0,6,0,2.8333333333333335,4.166666666666667,68.0,0.0,0.0,150.5,1221,43,13,8.11295681063122,3.4204545454545494,27.75,0.9772727272727273,0.29545454545454547,0.18438538205980046,20,24,45.45454545454545,54.54545454545454,9,1,44
MEK Hussey,1977,1578,8,0,198,52,34.08620689655172,27.20689655172414,125.2851711026616,0.13793103448275862,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,20,65.51724137931035,34.48275862068966,11,1,58
JR Hopes,417,305,4,0,49,11,21.94736842105263,16.05263157894737,136.72131147540983,0.21052631578947367,0.0,60.0,562,14,5,9.366666666666715,2.9999999999999845,28.1,0.7,0.25,0.46833333333333577,8,12,40.0,60.0,9,1,20
IK Pathan,1150,918,1,0,88,38,14.024390243902438,11.195121951219512,125.2723311546841,0.012195121951219513,0.0,340.7,2711,99,39,7.957925636007739,3.3729372937294104,26.84158415841584,0.9801980198019802,0.38613861386138615,0.0787913429307697,44,58,43.13725490196079,56.86274509803921,11,1,102
MS Dhoni,5243,3737,4,0,363,252,22.99561403508772,16.390350877192983,140.2997056462403,0.017543859649122806,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,123,105,53.94736842105263,46.05263157894737,16,1,228
SK Raina,5536,3988,19,0,506,204,27.68,19.94,138.81644934804413,0.095,0.0,151.3,1139,30,14,7.5264317180616676,2.193236714975847,16.507246376811594,0.43478260869565216,0.2028985507246377,0.10907872055161837,119,81,59.5,40.5,14,1,200
K Goel,218,223,0,0,17,9,13.625,13.9375,97.75784753363229,0.0,0.0,11.0,94,0,2,8.54545454545455,1.8333333333333324,15.666666666666666,0.0,0.3333333333333333,1.424242424242425,7,9,43.75,56.25,6,1,16
