Player,T.RAB,TBF,T.4s,T.6s,T.50s,T.100s,Avg.Run,Avg.SR,RF.50s,RF.100s,T.Win,T.Loss,Unique.Opponents,Venues
SC Ganguly,1349,1236,137,42,5,0,25.942307692307693,109.14239482200647,0.08928571428571429,0.0,21,35,8,1
BB McCullum,2882,2138,293,130,10,0,28.254901960784313,134.79887745556596,0.09174311926605505,0.0,55,54,12,1
RT Ponting,91,123,5,2,0,0,11.375,73.98373983739837,0.0,0.0,5,4,7,1
DJ Hussey,1322,1055,90,60,1,0,28.73913043478261,125.30805687203792,0.01639344262295082,0.0,28,33,11,1
Mohammad Hafeez,64,79,7,2,0,0,9.142857142857142,81.0126582278481,0.0,0.0,3,5,6,1
R Dravid,2174,1848,269,28,10,0,28.986666666666668,117.64069264069263,0.12195121951219512,0.0,37,45,11,1
W Jaffer,130,120,14,3,1,0,18.571428571428573,108.33333333333333,0.125,0.0,3,5,7,1
V Kohli,8014,6013,708,273,39,4,39.09268292682927,133.27789788790955,0.1598360655737705,0.01639344262295082,116,128,17,1
JH Kallis,2427,2191,255,44,11,0,29.240963855421686,110.77133728890918,0.11578947368421053,0.0,47,48,11,1
CL White,971,752,76,38,5,0,28.558823529411764,129.12234042553192,0.1111111111111111,0.0,16,29,10,1
MV Boucher,394,301,32,13,0,0,28.142857142857142,130.8970099667774,0.0,0.0,9,14,9,1
B Akhil,76,53,5,5,0,0,15.2,143.39622641509433,0.0,0.0,5,6,6,1
AA Noffke,9,10,1,0,0,0,9.0,90.0,0.0,0.0,0,1,1,1
P Kumar,340,307,22,17,0,0,10.0,110.74918566775244,0.0,0.0,11,46,10,1
Z Khan,117,138,11,2,0,0,8.357142857142858,84.78260869565217,0.0,0.0,2,25,9,1
SB Joshi,6,14,0,0,0,0,3.0,42.857142857142854,0.0,0.0,0,2,2,1
PA Patel,2848,2293,365,49,9,0,23.537190082644628,124.20409943305712,0.0661764705882353,0.0,67,69,14,1
ML Hayden,1107,782,121,44,4,0,39.535714285714285,141.56010230179027,0.125,0.0,20,12,7,1
MEK Hussey,1977,1578,198,52,8,0,40.3469387755102,125.2851711026616,0.13793103448275862,0.0,38,20,11,1
MS Dhoni,5243,3737,363,252,4,0,40.02290076335878,140.2997056462403,0.017543859649122806,0.0,123,105,16,1
SK Raina,5536,3988,506,204,19,0,34.17283950617284,138.81644934804413,0.095,0.0,120,80,14,1
JDP Oram,106,107,6,5,0,0,13.25,99.06542056074767,0.0,0.0,6,5,7,1
