Bowler,Matches,Innings,Overs,RunsGiven,Wickets,Economy,StrikeRate,Average,5W,3W,MaidenOvers,DotBalls,Extras,UniqueOpponents,OpponentsList
YS Chahal,159,159,588.3,4602,205,7.82,17.22,22.45,1,20,4,1246,124,16,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
PP Chawla,191,191,642.0,5108,192,7.96,20.06,26.6,0,15,2,1358,81,18,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
DJ Bravo,158,158,521.5,4360,183,8.36,17.1,23.83,0,16,3,1054,182,16,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
B Kumar,176,176,653.7,4929,181,7.54,21.67,27.23,2,15,14,1729,185,17,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
SP Narine,175,176,680.8,4582,180,6.73,22.69,25.46,1,15,3,1631,90,17,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
R Ashwin,208,208,754.7,5369,180,7.11,25.16,29.83,0,9,4,1606,191,17,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
A Mishra,162,162,565.3,4145,174,7.33,19.49,23.82,1,17,6,1220,80,16,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
SL Malinga,122,122,474.3,3364,170,7.09,16.74,19.79,1,19,8,1218,170,13,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
JJ Bumrah,133,137,518.0,3743,168,7.23,18.5,22.28,2,23,8,1300,130,15,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
RA Jadeja,211,211,639.0,4864,160,7.61,23.96,30.4,1,17,2,1261,87,17,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
Harbhajan Singh,160,160,570.0,4030,150,7.07,22.8,26.87,1,11,6,1312,102,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
Rashid Khan,121,124,478.7,3267,149,6.83,19.28,21.93,0,16,4,1112,45,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
UT Yadav,147,148,513.3,4331,144,8.44,21.39,30.08,0,16,5,1262,146,18,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
Sandeep Sharma,126,126,472.3,3709,137,7.85,20.69,27.07,1,12,8,1157,104,16,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
HV Patel,103,103,363.0,3148,135,8.67,16.13,23.32,1,15,2,757,145,16,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
MM Sharma,111,111,376.7,3256,132,8.64,17.12,24.67,1,16,0,803,56,16,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
Mohammed Shami,110,112,407.0,3419,127,8.4,19.23,26.92,0,13,3,1037,133,13,Chennai Super Kings|Delhi Capitals|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
AR Patel,148,149,517.5,3764,123,7.27,25.24,30.6,0,4,2,1067,57,15,Chennai Super Kings|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
TA Boult,103,104,390.5,3245,121,8.31,19.36,26.82,0,9,11,1020,108,13,Chennai Super Kings|Delhi Capitals|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
K Rabada,80,82,306.7,2577,120,8.4,15.33,21.48,0,11,2,758,91,13,Chennai Super Kings|Delhi Capitals|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
AD Russell,112,112,284.5,2646,115,9.3,14.84,23.01,1,13,0,616,85,16,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
