Player,T.Over,T.Run.Given,T.Wic,T.Mdn,T.ECN,Avg.Over,Avg.Run.Given,Avg.Wic,Avg.Mdn,Avg.ECN,T.Win,T.Loss,Unique.Opponents,Venues
P Kumar,420.8,3342,102,0,7.941386138613618,3.5364145658264388,28.084033613445378,0.8571428571428571,0.0,0.0667343372992741,58,61,12,1
Z Khan,367.0,2860,119,0,7.792915531335006,3.7070707070707756,28.88888888888889,1.202020202020202,0.0,0.0787163184983334,50,49,14,1
AA Noffke,4.0,41,1,0,10.250000000000005,3.9999999999999982,41.0,1.0,0.0,10.250000000000005,0,1,1,1
JH Kallis,291.8,2348,74,0,8.045688178183944,3.2790262172284446,26.382022471910112,0.8314606741573034,0.0,0.09040099076611173,44,45,11,1
SB Joshi,9.2,82,1,0,8.945454545454544,2.291666666666667,20.5,0.25,0.0,2.236363636363636,1,3,4,1
CL White,7.0,86,1,0,12.28571428571428,1.1666666666666672,14.333333333333334,0.16666666666666666,0.0,2.0476190476190466,1,5,5,1
AB Dinda,255.0,2103,82,0,8.2470588235296,3.399999999999923,28.04,1.0933333333333333,0.0,0.109960784313728,27,48,11,1
I Sharma,388.7,3255,96,0,8.374785591766525,3.533333333333417,29.59090909090909,0.8727272727272727,0.0,0.07613441447060477,47,63,17,1
AB Agarkar,130.7,1174,33,0,8.984693877550932,3.111111111111142,27.952380952380953,0.7857142857142857,0.0,0.2139212827988317,16,26,9,1
SC Ganguly,46.2,370,12,0,8.014440433213016,2.3083333333333274,18.5,0.6,0.0,0.4007220216606508,8,12,7,1
LR Shukla,52.7,458,17,0,8.696202531645604,1.9506172839506095,16.962962962962962,0.6296296296296297,0.0,0.32208157524613346,13,14,9,1
B Lee,148.0,1126,30,0,7.608108108108092,3.8947368421052713,29.63157894736842,0.7894736842105263,0.0,0.20021337126600242,20,18,10,1
S Sreesanth,150.5,1221,43,0,8.11295681063122,3.4204545454545494,27.75,0.9772727272727273,0.0,0.18438538205980046,20,24,9,1
JR Hopes,60.0,562,14,0,9.366666666666715,2.9999999999999845,28.1,0.7,0.0,0.46833333333333577,8,12,9,1
IK Pathan,340.7,2711,99,0,7.957925636007739,3.3729372937294104,26.84158415841584,0.9801980198019802,0.0,0.0787913429307697,46,55,11,1
K Goel,11.0,94,0,0,8.54545454545455,1.8333333333333324,15.666666666666666,0.0,0.0,1.424242424242425,1,5,3,1
PP Chawla,642.0,5179,201,0,8.066978193146497,3.3612565445025844,27.115183246073297,1.0523560209424083,0.0,0.042235487922232966,99,92,18,1
WA Mota,12.2,98,4,0,8.05479452054795,1.7380952380952368,14.0,0.5714285714285714,0.0,1.1506849315068501,4,3,5,1
JDP Oram,39.7,362,13,0,9.126050420168072,2.8333333333333317,25.857142857142858,0.9285714285714286,0.0,0.6518607442977195,8,6,8,1
MS Gony,148.8,1317,39,0,8.848824188129884,3.3825757575757636,29.931818181818183,0.8863636363636364,0.0,0.20110964063931555,22,22,11,1
M Muralitharan,255.0,1765,67,0,6.921568627451137,3.8636363636362763,26.742424242424242,1.0151515151515151,0.0,0.10487225193107784,35,31,10,1
P Amarnath,22.0,241,7,0,10.954545454545446,3.6666666666666696,40.166666666666664,1.1666666666666667,0.0,1.8257575757575744,6,0,5,1
Joginder Sharma,43.8,421,13,0,9.604562737642604,2.9222222222222167,28.066666666666666,0.8666666666666667,0.0,0.6403041825095069,6,9,7,1
GD McGrath,54.2,366,14,0,6.756923076923106,3.8690476190476026,26.142857142857142,1.0,0.0,0.4826373626373647,8,6,7,1
B Geeves,8.0,91,2,0,11.374999999999993,4.000000000000003,45.5,1.0,0.0,5.6874999999999964,2,0,2,1
MF Maharoof,70.8,532,33,0,7.510588235294136,3.541666666666658,26.6,1.65,0.0,0.37552941176470683,11,9,6,1
R Bhatia,273.0,2059,82,0,7.54212454212465,2.999999999999957,22.626373626373628,0.9010989010989011,0.0,0.08288048947389726,48,43,12,1
DL Vettori,129.5,894,34,0,6.903474903474831,3.808823529411805,26.294117647058822,1.0,0.0,0.20304337951396562,18,16,10,1
MM Patel,227.7,1733,82,0,7.612005856515514,3.613756613756547,27.50793650793651,1.3015873015873016,0.0,0.12082548978596054,37,26,11,1
SR Watson,340.3,2742,107,0,8.056807051909804,3.241269841269877,26.114285714285714,1.019047619047619,0.0,0.07673149573247431,56,49,14,1
SK Trivedi,252.5,1944,73,0,7.69900990099027,3.3666666666665916,25.92,0.9733333333333334,0.0,0.10265346534653694,45,30,10,1
SK Warne,199.0,1465,60,0,7.361809045226226,3.685185185185137,27.12962962962963,1.1111111111111112,0.0,0.13632979713381901,31,23,9,1
YK Pathan,191.2,1443,46,0,7.548387096774278,2.331300813008104,17.597560975609756,0.5609756097560976,0.0,0.09205350118017412,47,35,12,1
D Salunkhe,8.0,80,1,0,9.999999999999993,1.600000000000001,16.0,0.2,0.0,1.9999999999999987,3,2,4,1
R Vinay Kumar,356.3,3041,127,0,8.534144059868904,3.426282051282105,29.240384615384617,1.2211538461538463,0.0,0.08205907749873946,53,51,12,1
B Akhil,31.5,246,7,0,7.809523809523788,2.4230769230769296,18.923076923076923,0.5384615384615384,0.0,0.600732600732599,8,5,5,1
A Nehra,319.5,2537,121,0,7.940532081377118,3.630681818181834,28.829545454545453,1.375,0.0,0.09023331910655816,43,45,13,1
SM Pollock,46.0,307,13,0,6.673913043478278,3.53846153846153,23.615384615384617,1.0,0.0,0.513377926421406,6,7,7,1
DS Kulkarni,299.0,2513,91,0,8.404682274247518,3.2499999999999893,27.315217391304348,0.9891304347826086,0.0,0.09135524211138607,42,50,12,1
ST Jayasuriya,49.0,396,16,0,8.08163265306125,2.333333333333326,18.857142857142858,0.7619047619047619,0.0,0.3848396501457738,10,11,7,1
Harbhajan Singh,570.0,4101,161,0,7.1947368421051365,3.5625000000000626,25.63125,1.00625,0.0,0.0449671052631571,92,68,15,1
AM Nayar,38.2,323,9,0,8.462882096069869,2.008771929824561,17.0,0.47368421052631576,0.0,0.44541484716157204,8,11,7,1
M Kartik,192.3,1418,39,0,7.372616984402164,3.4969696969696566,25.78181818181818,0.7090909090909091,0.0,0.1340475815345848,24,31,11,1
Mohammad Hafeez,10.2,71,2,0,6.983606557377051,2.541666666666666,17.75,0.5,0.0,1.7459016393442628,1,3,4,1
DJ Hussey,52.8,485,10,0,9.179810725552088,2.032051282051274,18.653846153846153,0.38461538461538464,0.0,0.3530696432904649,13,13,8,1
WPUJC Vaas,47.3,364,22,0,7.690140845070444,3.6410256410256308,28.0,1.6923076923076923,0.0,0.5915492957746495,5,8,6,1
RP Singh,298.0,2417,100,0,8.110738255033587,3.6341463414634014,29.475609756097562,1.2195121951219512,0.0,0.09891144213455594,36,46,11,1
SB Styris,36.0,278,9,0,7.722222222222216,3.272727272727275,25.272727272727273,0.8181818181818182,0.0,0.7020202020202014,3,8,6,1
SB Bangar,25.0,221,6,0,8.839999999999986,2.777777777777782,24.555555555555557,0.6666666666666666,0.0,0.9822222222222207,2,7,7,1
A Symonds,88.0,694,23,0,7.886363636363608,2.933333333333344,23.133333333333333,0.7666666666666667,0.0,0.26287878787878693,15,15,8,1
PP Ojha,316.8,2399,99,0,7.571804313519175,3.520370370370382,26.655555555555555,1.1,0.0,0.08413115903910194,44,46,10,1
Pankaj Singh,50.2,472,11,0,9.408637873754186,2.9509803921568527,27.764705882352942,0.6470588235294118,0.0,0.5534492866914227,8,9,8,1
Mohammad Asif,32.2,307,9,0,9.544041450777177,4.020833333333344,38.375,1.125,0.0,1.1930051813471472,4,4,6,1
VY Mahesh,57.7,511,22,0,8.861271676300621,3.3921568627450815,30.058823529411764,1.2941176470588236,0.0,0.5212512750765071,7,10,8,1
Shahid Afridi,30.2,237,9,0,7.856353591160201,3.016666666666674,23.7,0.9,0.0,0.7856353591160201,2,8,6,1
DJ Bravo,521.5,4436,207,0,8.506232023010204,3.300632911392538,28.075949367088608,1.3101265822784811,0.0,0.05383691153803927,93,65,16,1
VS Yeligati,5.0,61,0,0,12.2,2.5,30.5,0.0,0.0,6.1,0,2,2,1
MA Khote,5.0,52,2,0,10.4,2.5,26.0,1.0,0.0,5.2,0,2,2,1
