Player,TotalRuns,BallsFaced,StrikeRate,Fours,Sixes,Matches,Innings,Fifties,Hundreds,AverageRun,RF_50s,RF_100s,UniqueOpponents,OpponentsList,Dismissals,DuckOuts,DuckOutPercentage,MostCommonPosition,AveragePosition,PositionConsistency,PositionRange,OpeningInnings,TopOrderInnings
V Kohli,8014,6013,133.28,708,273,244,246,55,8,39.09,0.225,0.033,17,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Sunrisers Hyderabad,205,10,4.88,3,2.59,35.37,1-7,70,205
S Dhawan,6769,5235,129.3,768,153,221,222,51,2,36.2,0.231,0.009,19,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,187,12,6.42,2,2.08,66.67,1-7,37,214
RG Sharma,6630,5003,132.52,599,281,251,252,43,2,30.0,0.171,0.008,18,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,221,16,7.24,4,2.87,32.94,1-7,65,145
DA Warner,6567,4615,142.3,663,236,184,187,62,4,41.56,0.337,0.022,19,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,158,13,8.23,1,1.61,63.1,1-5,118,171
SK Raina,5536,3988,138.82,506,204,200,201,39,1,34.17,0.195,0.005,14,Deccan Chargers|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,162,8,4.94,3,3.14,74.13,2-6,0,165
MS Dhoni,5243,3737,140.3,363,252,228,228,24,0,40.02,0.105,0.0,16,Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,131,6,4.58,5,5.19,32.02,3-9,0,8
AB de Villiers,5181,3355,154.43,414,253,170,172,40,3,42.47,0.235,0.018,16,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,122,10,8.2,4,3.83,39.53,1-6,2,64
CH Gayle,4997,3271,152.77,408,359,141,145,31,6,39.98,0.22,0.043,13,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,125,8,6.4,1,1.72,44.83,1-4,65,144
RV Uthappa,4954,3725,132.99,481,182,197,198,27,0,28.31,0.137,0.0,17,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,175,8,4.57,1,2.67,36.87,1-7,73,139
KD Karthik,4843,3512,137.9,466,161,233,235,22,0,27.67,0.094,0.0,17,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,175,18,10.29,5,4.84,29.79,2-8,0,32
KL Rahul,4689,3439,136.35,400,187,122,124,37,4,45.52,0.303,0.033,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,103,3,2.91,1,1.9,58.87,1-11,73,107
AM Rahane,4642,3702,125.39,479,103,171,171,30,2,31.15,0.175,0.012,17,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,149,12,8.05,1,1.89,50.88,1-8,87,159
F du Plessis,4571,3307,138.22,422,166,138,138,37,0,38.41,0.268,0.0,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,119,7,5.88,2,2.33,57.97,1-7,20,119
SV Samson,4419,3141,140.69,352,206,162,162,25,3,31.79,0.154,0.019,16,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,139,10,7.19,3,3.17,50.62,1-8,13,114
AT Rayudu,4348,3366,129.17,359,173,185,185,22,1,29.38,0.119,0.005,18,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,148,13,8.78,4,4.21,25.41,1-7,2,59
G Gambhir,4217,3339,126.3,492,59,151,151,36,0,32.95,0.238,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,128,11,8.59,2,1.95,48.34,1-6,46,146
SR Watson,3880,2778,139.67,377,190,141,143,21,4,31.29,0.149,0.028,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,124,8,6.45,1,2.65,33.57,1-7,48,94
MK Pandey,3859,3153,122.39,335,111,158,160,22,1,29.46,0.139,0.006,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,131,14,10.69,3,3.31,42.5,1-8,17,102
SA Yadav,3594,2440,147.3,385,130,135,136,24,2,32.97,0.178,0.015,17,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,109,11,10.09,3,3.88,36.76,1-8,13,68
