fullName,runs,ballsFaced,fours,sixes,match_id_x,Avg.Run,Avg.BF,Avg.SR,overs,conceded,wickets,maidens,match_id_y,Avg.over,Avg.Run.Given,Avg.Wic,Avg.Mdn,Avg.ECN
Aaron Finch,2091,1631,214,78,90,23.23333333,18.12222222,128.2035561,7.1,67,1,0,5,1.42,13.4,0.2,0,9.436619718
Abdul Samad,395,287,22,25,28,14.10714286,10.25,137.630662,9,113,2,0,5,1.8,22.6,0.4,0,12.55555556
Abdur Razzak,0,2,0,0,1,0,2,0,2,29,0,0,1,2,29,0,0,14.5
Abhimanyu Mithun,34,26,4,1,8,4.25,3.25,130.7692308,48,472,7,0,16,3,29.5,0.4375,0,9.833333333
Abhishek Jhunjhunwala,217,210,19,5,16,13.5625,13.125,103.3333333,14.1,129,1,0,10,1.41,12.9,0.1,0,9.14893617
Abhishek Nayar,672,577,55,20,50,13.44,11.54,116.4644714,38.1,322,9,0,19,2.005263158,16.94736842,0.473684211,0,8.45144357
Abhishek Raut,194,167,13,7,16,12.125,10.4375,116.1676647,5,44,0,0,5,1,8.8,0,0,8.8
Abhishek Sharma,893,650,92,31,45,19.84444444,14.44444444,137.3846154,38,338,9,0,22,1.727272727,15.36363636,0.409090909,0,8.894736842
Abu Nechim,36,26,4,1,6,6,4.333333333,138.4615385,57.2,498,12,1,17,3.364705882,29.29411765,0.705882353,0.058823529,8.706293706
Adam Gilchrist,2069,1495,239,92,80,25.8625,18.6875,138.3946488,0.1,0,1,0,1,0.1,0,1,0,0
Adam Milne,23,29,0,1,6,3.833333333,4.833333333,79.31034483,34.3,327,7,0,10,3.43,32.7,0.7,0,9.533527697
Adam Voges,181,143,15,3,7,25.85714286,20.42857143,126.5734266,9,76,0,0,7,1.285714286,10.85714286,0,0,8.444444444
Adam Zampa,15,24,1,0,5,3,4.8,62.5,69.5,558,29,0,20,3.475,27.9,1.45,0,8.028776978
Adil Rashid,22,16,2,1,2,11,8,137.5,10,91,2,0,3,3.333333333,30.33333333,0.666666667,0,9.1
Aditya Dole,34,22,3,1,2,17,11,154.5454545,11,112,5,0,3,3.666666667,37.33333333,1.666666667,0,10.18181818
Aiden Markram,775,590,55,31,31,25,19.03225806,131.3559322,18.1,157,2,0,12,1.508333333,13.08333333,0.166666667,0,8.674033149
Ajantha Mendis,3,6,0,0,3,1,2,50,40,285,8,0,10,4,28.5,0.8,0,7.125
Ajinkya Rahane,4400,3565,455,96,159,27.67295597,22.42138365,123.4221599,1,5,1,0,1,1,5,1,0,5
Ajit  Chandila,4,7,0,0,2,2,3.5,57.14285714,39,242,11,0,12,3.25,20.16666667,0.916666667,0,6.205128205
Ajit Agarkar,179,154,13,5,22,8.136363636,7,116.2337662,130.2,1151,29,0,42,3.1,27.4047619,0.69047619,0,8.840245776
Akash Deep,17,10,2,1,2,8.5,5,170,23.5,264,6,1,7,3.357142857,37.71428571,0.857142857,0.142857143,11.23404255
Akeal Hosein,16,10,1,1,1,16,10,160,4,40,1,0,1,4,40,1,0,10
Akila Dananjaya,4,5,0,0,1,4,5,80,4,47,0,0,1,4,47,0,0,11.75
Albie Morkel,974,686,61,55,68,14.32352941,10.08823529,141.9825073,286.7,2359,85,3,87,3.295402299,27.11494253,0.977011494,0.034482759,8.22811301
Alfonso Thomas,20,19,1,1,4,5,4.75,105.2631579,52.3,406,14,2,15,3.486666667,27.06666667,0.933333333,0.133333333,7.76290631
Ali Murtaza,10,14,1,0,3,3.333333333,4.666666667,71.42857143,44,313,9,0,12,3.666666667,26.08333333,0.75,0,7.113636364
Alzarri Joseph,27,32,3,0,7,3.857142857,4.571428571,84.375,62.4,576,20,1,19,3.284210526,30.31578947,1.052631579,0.052631579,9.230769231
Aman Hakim Khan,115,104,8,6,10,11.5,10.4,110.5769231,1,13,0,0,1,1,13,0,0,13
Amit Mishra,381,419,31,5,57,6.684210526,7.350877193,90.93078759,559.1,4125,173,6,161,3.472670807,25.62111801,1.074534161,0.037267081,7.377928814
Amit Singh,2,10,0,0,5,0.4,2,20,78.1,620,28,1,23,3.395652174,26.95652174,1.217391304,0.043478261,7.938540333
Amit Uniyal,4,7,0,0,2,2,3.5,57.14285714,6,66,2,0,2,3,33,1,0,11
Andre Nel,0,0,0,0,1,0,0,101.5440946,3,31,1,0,1,3,31,1,0,10.33333333
Andre Russell,2262,1300,150,193,96,23.5625,13.54166667,174,252.1,2351,96,0,98,2.57244898,23.98979592,0.979591837,0,9.325664419
Andrew Flintoff,62,53,5,2,3,20.66666667,17.66666667,116.9811321,11,105,2,0,3,3.666666667,35,0.666666667,0,9.545454545
Andrew McDonald,123,100,9,4,9,13.66666667,11.11111111,123,31,261,11,0,10,3.1,26.1,1.1,0,8.419354839
Andrew Symonds,974,750,74,41,36,27.05555556,20.83333333,129.8666667,87.5,674,20,0,30,2.916666667,22.46666667,0.666666667,0,7.702857143
Andrew Tye,91,76,6,5,13,7,5.846153846,119.7368421,114,979,42,0,30,3.8,32.63333333,1.4,0,8.587719298
Angelo Mathews,724,575,44,29,42,17.23809524,13.69047619,125.9130435,131.5,1079,27,0,44,2.988636364,24.52272727,0.613636364,0,8.205323194
Aniket Choudhary,25,20,1,1,3,8.333333333,6.666666667,125,16.5,144,5,2,5,3.3,28.8,1,0.4,8.727272727
Anil Kumble,35,47,3,0,17,2.058823529,2.764705882,74.46808511,160.1,1058,45,1,42,3.811904762,25.19047619,1.071428571,0.023809524,6.608369769
Ankeet Chavan,12,11,2,0,3,4,3.666666667,109.0909091,41.2,326,8,0,13,3.169230769,25.07692308,0.615384615,0,7.912621359
Ankit Rajpoot,26,41,2,1,7,3.714285714,5.857142857,63.41463415,88.1,814,24,1,29,3.037931034,28.06896552,0.827586207,0.034482759,9.239500568
Ankit Sharma,87,67,7,4,10,8.7,6.7,129.8507463,61.1,450,12,0,21,2.90952381,21.42857143,0.571428571,0,7.36497545
Ankit Soni,7,9,0,1,3,2.333333333,3,77.77777778,18.1,144,2,0,6,3.016666667,24,0.333333333,0,7.955801105
Anrich Nortje,45,41,6,0,13,3.461538462,3.153846154,109.7560976,153,1280,53,1,40,3.825,32,1.325,0.025,8.366013072
Anukul Roy,23,21,3,0,5,4.6,4.2,109.5238095,17,131,5,0,6,2.833333333,21.83333333,0.833333333,0,7.705882353
Anureet Singh,36,47,2,1,9,4,5.222222222,76.59574468,68,623,18,0,22,3.090909091,28.31818182,0.818181818,0,9.161764706
Arjun Tendulkar,13,9,0,1,1,13,9,144.4444444,9.5,92,3,0,4,2.375,23,0.75,0,9.684210526
Arshad Khan,18,15,0,1,3,6,5,120,13.7,190,5,0,6,2.283333333,31.66666667,0.833333333,0,13.86861314
Arshdeep Singh,25,37,3,0,11,2.272727273,3.363636364,67.56756757,175.8,1547,57,1,51,3.447058824,30.33333333,1.117647059,0.019607843,8.799772469
Asad Pathan,39,23,5,2,7,5.571428571,3.285714286,169.5652174,6.3,63,0,0,3,2.1,21,0,0,10
Ashish Nehra,41,62,3,1,22,1.863636364,2.818181818,66.12903226,317.2,2495,106,2,88,3.604545455,28.35227273,1.204545455,0.022727273,7.865699874
Ashish Reddy,280,193,17,14,23,12.17391304,8.391304348,145.0777202,43,396,18,0,20,2.15,19.8,0.9,0,9.209302326
Ashley Noffke,9,10,1,0,1,9,10,90,4,40,1,0,1,4,40,1,0,10
Ashok Dinda,26,48,2,0,17,1.529411765,2.823529412,54.16666667,252,2073,69,3,75,3.36,27.64,0.92,0.04,8.226190476
Ashok Menaria,401,356,24,18,23,17.43478261,15.47826087,112.6404494,18.2,144,3,0,12,1.516666667,12,0.25,0,7.912087912
Avesh Khan,31,20,2,3,7,4.428571429,2.857142857,155,167.4,1448,55,1,47,3.561702128,30.80851064,1.170212766,0.021276596,8.649940263
Axar Patel,1418,1084,88,69,101,14.03960396,10.73267327,130.8118081,471.5,3421,112,2,134,3.518656716,25.52985075,0.835820896,0.014925373,7.255567338
Ayush Badoni,399,302,24,19,23,17.34782609,13.13043478,132.1192053,2.1,11,2,0,3,0.7,3.666666667,0.666666667,0,5.238095238
Azhar Mahmood,388,303,39,13,21,18.47619048,14.42857143,128.0528053,88.5,700,29,0,23,3.847826087,30.43478261,1.260869565,0,7.90960452
Balachandra Akhil,76,55,5,5,11,6.909090909,5,138.1818182,31.2,242,6,0,13,2.4,18.61538462,0.461538462,0,7.756410256
Barinder Sran,10,14,0,0,9,1.111111111,1.555555556,71.42857143,80.3,757,18,0,24,3.345833333,31.54166667,0.75,0,9.427148194
Basil Thampi,32,35,1,1,8,4,4.375,91.42857143,86.1,846,22,1,25,3.444,33.84,0.88,0.04,9.825783972
Ben Cutting,238,141,15,19,17,14,8.294117647,168.7943262,46.5,429,10,0,17,2.735294118,25.23529412,0.588235294,0,9.225806452
Ben Hilfenhaus,0,0,0,0,1,0,0,101.5440946,62,479,22,2,17,3.647058824,28.17647059,1.294117647,0.117647059,7.725806452
Ben Laughlin,5,13,0,0,4,1.25,3.25,38.46153846,27.5,282,10,0,9,3.055555556,31.33333333,1.111111111,0,10.25454545
Ben Rohrer,193,140,21,5,8,24.125,17.5,137.8571429,1,12,0,0,1,1,12,0,0,12
Ben Stokes,935,698,81,32,44,21.25,15.86363636,133.9541547,114.5,992,28,2,38,3.013157895,26.10526316,0.736842105,0.052631579,8.663755459
Beuran Hendricks,1,3,0,0,3,0.333333333,1,33.33333333,25,235,9,0,7,3.571428571,33.57142857,1.285714286,0,9.4
Bharat Chipli,280,251,28,7,21,13.33333333,11.95238095,111.5537849,1,20,0,0,1,1,20,0,0,20
Bhargav Bhatt,6,7,0,1,2,3,3.5,85.71428571,48.8,397,12,0,15,3.253333333,26.46666667,0.8,0,8.135245902
Bhuvneshwar Kumar,283,297,27,3,63,4.492063492,4.714285714,95.28619529,592.8,4396,170,12,160,3.705,27.475,1.0625,0.075,7.415654521
Billy Stanlake,5,2,1,0,1,5,2,250,24,200,7,0,6,4,33.33333333,1.166666667,0,8.333333333
Bipul Sharma,187,123,11,9,17,11,7.235294118,152.0325203,70.6,572,17,0,28,2.521428571,20.42857143,0.607142857,0,8.101983003
Brad Hodge,1400,1118,122,43,63,22.22222222,17.74603175,125.2236136,39,303,17,0,20,1.95,15.15,0.85,0,7.769230769
Brad Hogg,22,22,1,0,6,3.666666667,3.666666667,100,76.2,570,23,1,21,3.628571429,27.14285714,1.095238095,0.047619048,7.480314961
Brett Lee,124,97,8,8,19,6.526315789,5.105263158,127.8350515,145.5,1095,25,3,38,3.828947368,28.81578947,0.657894737,0.078947368,7.525773196
Cameron Green,452,282,40,22,16,28.25,17.625,160.2836879,38,361,6,0,16,2.375,22.5625,0.375,0,9.5
Cameron White,954,755,76,36,45,21.2,16.77777778,126.3576159,7,86,1,0,6,1.166666667,14.33333333,0.166666667,0,12.28571429
Carlos Brathwaite,181,111,10,16,14,12.92857143,7.928571429,163.0630631,41.8,379,13,0,16,2.6125,23.6875,0.8125,0,9.066985646
Chamara Kapugedera,16,23,0,0,3,5.333333333,7.666666667,69.56521739,2.5,49,0,0,3,0.833333333,16.33333333,0,0,19.6
Chamara Silva,40,26,5,1,3,13.33333333,8.666666667,153.8461538,1,21,0,0,1,1,21,0,0,21
Chaminda Vaas,81,73,2,3,11,7.363636364,6.636363636,110.9589041,47,355,18,2,13,3.615384615,27.30769231,1.384615385,0.153846154,7.553191489
Chandrasekar Ganapathy,0,0,0,0,1,0,0,101.5440946,1,13,0,0,1,1,13,0,0,13
Charl Langeveldt,8,9,0,1,2,4,4.5,88.88888889,26,187,13,0,7,3.714285714,26.71428571,1.857142857,0,7.192307692
Chetan Sakariya,20,31,3,0,8,2.5,3.875,64.51612903,71,599,20,1,19,3.736842105,31.52631579,1.052631579,0.052631579,8.436619718
Chetanya Nanda,0,1,0,0,1,0,1,0,8,57,2,0,3,2.666666667,19,0.666666667,0,7.125
Chris Gayle,4965,3333,404,357,141,35.21276596,23.63829787,148.9648965,91.4,729,18,0,38,2.405263158,19.18421053,0.473684211,0,7.975929978
Chris Jordan,81,77,3,3,13,6.230769231,5.923076923,105.1948052,110.8,1070,30,1,34,3.258823529,31.47058824,0.882352941,0.029411765,9.657039711
Chris Morris,618,398,41,35,51,12.11764706,7.803921569,155.2763819,286.4,2295,95,1,81,3.535802469,28.33333333,1.172839506,0.012345679,8.013268156
Chris Woakes,78,77,7,2,12,6.5,6.416666667,101.2987013,73.2,658,30,0,21,3.485714286,31.33333333,1.428571429,0,8.989071038
Clint McKay,8,15,0,0,1,8,15,53.33333333,7,60,1,0,2,3.5,30,0.5,0,8.571428571
Colin Munro,177,141,19,8,12,14.75,11.75,125.5319149,2,15,0,0,2,1,7.5,0,0,7.5
Colin de Grandhomme,303,225,18,18,21,14.42857143,10.71428571,134.6666667,35.6,319,6,0,19,1.873684211,16.78947368,0.315789474,0,8.960674157
Corey Anderson,538,423,40,31,29,18.55172414,14.5862069,127.1867612,48.9,518,11,0,22,2.222727273,23.54545455,0.5,0,10.59304703
D'Arcy Short,115,99,11,5,7,16.42857143,14.14285714,116.1616162,3,19,1,0,2,1.5,9.5,0.5,0,6.333333333
Dale Steyn,167,160,14,3,37,4.513513514,4.324324324,104.375,361.6,2508,97,7,95,3.806315789,26.4,1.021052632,0.073684211,6.935840708
Dan Christian,14,24,1,0,7,2,3.428571429,58.33333333,16.4,155,4,0,9,1.822222222,17.22222222,0.444444444,0,9.451219512
Daniel Christian,446,374,22,19,34,13.11764706,11,119.2513369,129.9,1037,34,0,40,3.2475,25.925,0.85,0,7.983063895
Daniel Harris,111,101,11,5,4,27.75,25.25,109.9009901,3,26,0,0,2,1.5,13,0,0,8.666666667
Daniel Sams,44,44,1,3,13,3.384615385,3.384615385,100,60,523,14,0,16,3.75,32.6875,0.875,0,8.716666667
Daniel Vettori,121,113,11,2,17,7.117647059,6.647058824,107.079646,128.9,879,28,0,34,3.791176471,25.85294118,0.823529412,0,6.819239721
Daren Sammy,295,241,15,18,20,14.75,12.05,122.406639,39.2,350,11,0,19,2.063157895,18.42105263,0.578947368,0,8.928571429
Darshan Nalkande,0,1,0,0,1,0,1,0,9.1,103,3,0,3,3.033333333,34.33333333,1,0,11.31868132
Daryl Mitchell,33,44,1,0,2,16.5,22,75,2,27,0,0,2,1,13.5,0,0,13.5
David Hussey,1322,1075,90,60,61,21.67213115,17.62295082,122.9767442,52.5,474,8,0,26,2.019230769,18.23076923,0.307692308,0,9.028571429
David Warner,6397,4572,646,226,176,36.34659091,25.97727273,139.9168854,0.1,2,0,0,1,0.1,2,0,0,20
David Wiese,148,101,12,7,11,13.45454545,9.181818182,146.5346535,49.2,440,16,0,15,3.28,29.33333333,1.066666667,0,8.943089431
David Willey,53,62,7,0,5,10.6,12.4,85.48387097,36,272,6,1,11,3.272727273,24.72727273,0.545454545,0.090909091,7.555555556
Deepak Chahar,80,59,2,6,13,6.153846154,4.538461538,135.5932203,254.4,2019,72,6,73,3.484931507,27.65753425,0.98630137,0.082191781,7.936320755
Deepak Hooda,1320,1026,80,58,87,15.17241379,11.79310345,128.6549708,59.1,509,10,0,31,1.906451613,16.41935484,0.322580645,0,8.612521151
Dewald Brevis,161,113,14,11,7,23,16.14285714,142.4778761,0.3,8,1,0,1,0.3,8,1,0,26.66666667
Dhawal Kulkarni,104,108,7,2,24,4.333333333,4.5,96.2962963,296.3,2474,86,8,92,3.220652174,26.89130435,0.934782609,0.086956522,8.349645629
Dilhara Fernando,4,3,0,0,2,2,1.5,133.3333333,39,298,17,0,10,3.9,29.8,1.7,0,7.641025641
Dillon du Preez,10,13,0,0,1,10,13,76.92307692,7,56,4,1,2,3.5,28,2,0.5,8
Dimitri Mascarenhas,79,78,5,1,11,7.181818182,7.090909091,101.2820513,51.2,356,19,1,13,3.938461538,27.38461538,1.461538462,0.076923077,6.953125
Dinesh Salunkhe,33,24,5,0,3,11,8,137.5,8,78,1,0,5,1.6,15.6,0.2,0,9.75
Dirk Nannes,4,13,0,0,3,1.333333333,4.333333333,30.76923077,106.9,785,28,1,29,3.686206897,27.06896552,0.965517241,0.034482759,7.343311506
Doddapaneni Kalyankrishna,3,8,0,0,1,3,8,37.5,8,87,2,0,3,2.666666667,29,0.666666667,0,10.875
Dominic Thornely,39,53,2,2,4,9.75,13.25,73.58490566,7,40,3,0,4,1.75,10,0.75,0,5.714285714
Domnic Muthuswami,1,3,0,0,2,0.5,1.5,33.33333333,14,101,4,0,6,2.333333333,16.83333333,0.666666667,0,7.214285714
Doug Bollinger,21,23,1,1,4,5.25,5.75,91.30434783,95.6,693,37,3,27,3.540740741,25.66666667,1.37037037,0.111111111,7.248953975
Doug Bracewell,12,9,1,0,1,12,9,133.3333333,4,32,3,0,1,4,32,3,0,8
Dushmantha Chameera,43,28,3,3,8,5.375,3.5,153.5714286,44,384,9,0,12,3.666666667,32,0.75,0,8.727272727
Dwaine Pretorius,44,28,3,3,5,8.8,5.6,157.1428571,25,238,6,0,7,3.571428571,34,0.857142857,0,9.52
Dwaraka Ravi Teja,375,317,35,9,25,15,12.68,118.29653,3,28,1,0,2,1.5,14,0.5,0,9.333333333
Dwayne Bravo,1560,1204,121,66,113,13.80530973,10.65486726,129.5681063,517.1,4360,183,3,158,3.27278481,27.59493671,1.158227848,0.018987342,8.431637981
Dwayne Smith,2385,1764,245,117,89,26.79775281,19.82022472,135.2040816,89.5,810,26,0,46,1.945652174,17.60869565,0.565217391,0,9.05027933
Fabian Allen,14,19,1,0,4,3.5,4.75,73.68421053,15,136,2,1,4,3.75,34,0.5,0.25,9.066666667
Faf du Plessis,4133,3081,374,145,123,33.60162602,25.04878049,134.1447582,1,16,0,0,1,1,16,0,0,16
Faiz Fazal,183,173,22,1,11,16.63636364,15.72727273,105.7803468,2,20,0,0,2,1,10,0,0,10
Farveez Maharoof,177,123,12,9,14,12.64285714,8.785714286,143.902439,70,520,27,0,20,3.5,26,1.35,0,7.428571429
Fazalhaq Farooqi,3,13,0,0,2,1.5,6.5,23.07692308,25.2,227,6,0,7,3.6,32.42857143,0.857142857,0,9.007936508
Fidel Edwards,4,5,0,0,2,2,2.5,80,22.8,154,5,1,6,3.8,25.66666667,0.833333333,0.166666667,6.754385965
George Garton,2,4,0,0,3,0.666666667,1.333333333,50,15,135,3,0,5,3,27,0.6,0,9
Glenn Maxwell,2719,1725,226,158,120,22.65833333,14.375,157.6231884,140.8,1174,31,1,73,1.928767123,16.08219178,0.424657534,0.01369863,8.338068182
Glenn McGrath,4,5,1,0,3,1.333333333,1.666666667,80,54,357,12,2,14,3.857142857,25.5,0.857142857,0.142857143,6.611111111
Glenn Phillips,65,55,3,6,8,8.125,6.875,118.1818182,5,40,2,0,4,1.25,10,0.5,0,8
Gnaneswara Rao,19,17,3,0,1,19,17,111.7647059,1,7,0,0,1,1,7,0,0,7
Graham Napier,15,16,1,0,1,15,16,93.75,4,27,1,0,1,4,27,1,0,6.75
Gurkeerat Singh Mann,511,422,55,11,32,15.96875,13.1875,121.0900474,13,97,5,0,6,2.166666667,16.16666667,0.833333333,0,7.461538462
