fullName,T50s,T100s,TRuns,TBF,Avg_Run,Avg_SR,Matches,Dismissals,DuckOuts,MostCommonPosition,Fours,Sixes,RF(50s),RF(100s),DuckOutPercentage,StrikeRate
AB de Villiers,40,3,5162.0,3403.0,30.36470588235294,133.2460588235294,170,130,10,1,413.0,251.0,0.23529411764705882,0.01764705882352941,5.88235294117647,151.68968557155452
Aakash Chopra,0,0,53.0,71.0,8.833333333333334,61.72666666666667,6,6,0,1,7.0,0.0,0.0,0.0,0.0,74.64788732394366
Aaron Finch,15,0,2091.0,1631.0,23.233333333333334,112.10877777777779,90,84,8,1,214.0,78.0,0.16666666666666666,0.0,8.88888888888889,128.2035561005518
Abdul Basith,0,0,1.0,1.0,1.0,100.0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,100.0
Abdul Samad,0,0,395.0,287.0,14.62962962962963,124.71962962962962,27,20,2,2,22.0,25.0,0.0,0.0,7.4074074074074066,137.63066202090593
Abdur Razzak,0,0,0.0,2.0,0.0,0.0,1,0,1,2,0.0,0.0,0.0,0.0,100.0,0.0
Abhijeet Tomar,0,0,4.0,8.0,4.0,50.0,1,1,0,2,1.0,0.0,0.0,0.0,0.0,50.0
Abhimanyu Mithun,0,0,34.0,26.0,5.666666666666667,117.55833333333334,6,5,1,2,4.0,1.0,0.0,0.0,16.666666666666664,130.76923076923077
Abhinav Manohar,0,0,222.0,158.0,17.076923076923077,117.12615384615384,13,12,1,1,20.0,10.0,0.0,0.0,7.6923076923076925,140.50632911392404
Abhinav Mukund,0,0,19.0,22.0,9.5,45.235,2,2,1,1,1.0,0.0,0.0,0.0,50.0,86.36363636363636
Abhishek Jhunjhunwala,1,0,217.0,210.0,14.466666666666667,98.536,15,13,1,2,19.0,5.0,0.06666666666666667,0.0,6.666666666666667,103.33333333333334
Abhishek Nayar,0,0,672.0,577.0,13.44,96.6342,50,38,4,2,55.0,20.0,0.0,0.0,8.0,116.46447140381282
Abhishek Raut,0,0,194.0,167.0,12.125,92.8675,16,9,1,1,13.0,7.0,0.0,0.0,6.25,116.1676646706587
