,TO,RG,WT,Avg,Sr,Eco,5W,3W
Mohammed Shami,403.40000000000003,3412,127,26.866141732283463,19.058267716535433,8.458106098165592,0,13
Hardik Pandya,199.4,1763,53,33.264150943396224,22.57358490566038,8.841524573721163,0,4
Josh Little,34.0,294,7,42.0,29.142857142857142,8.647058823529411,0,0
Rashid Khan,432.5,2885,139,20.755395683453237,18.66906474820144,6.670520231213873,0,16
Alzarri Joseph,62.4,576,20,28.8,18.72,9.230769230769232,1,1
Yash Dayal,46.0,461,13,35.46153846153846,21.23076923076923,10.021739130434783,0,1
Deepak Chahar,254.4,2019,72,28.041666666666668,21.200000000000003,7.936320754716981,0,7
Tushar Deshpande,80.5,819,25,32.76,19.32,10.173913043478262,0,2
Rajvardhan Hangargekar,6.0,60,3,20.0,12.0,10.0,0,1
Mitchell Santner,52.0,358,13,27.53846153846154,24.0,6.884615384615385,0,0
Ravindra Jadeja,589.1,4495,152,29.57236842105263,23.253947368421056,7.6302834832795785,1,15
Umesh Yadav,486.4,4107,136,30.198529411764707,21.458823529411763,8.443667763157896,0,16
Tim Southee,201.0,1742,47,37.06382978723404,25.659574468085108,8.666666666666666,0,4
Sunil Narine,623.6999999999999,4203,163,25.78527607361963,22.958282208588955,6.738816738816739,1,15
Varun Chakravarthy,214.4,1600,62,25.806451612903224,20.748387096774195,7.462686567164179,1,5
Shardul Thakur,277.6,2560,89,28.764044943820224,18.714606741573036,9.221902017291066,0,7
Sam Curran,155.1,1484,42,35.333333333333336,22.157142857142855,9.56802063185042,0,6
Arshdeep Singh,175.8,1547,57,27.140350877192983,18.50526315789474,8.799772468714448,1,7
Nathan Ellis,55.0,484,17,28.470588235294116,19.41176470588235,8.8,0,2
Sikandar Raza,12.0,119,3,39.666666666666664,24.0,9.916666666666666,0,0
Rishi Dhawan,107.2,856,25,34.24,25.728,7.985074626865671,0,0
Rahul Chahar,245.4,1862,65,28.646153846153847,22.652307692307694,7.58761206193969,0,5
Harpreet Brar,75.1,592,18,32.888888888888886,25.03333333333333,7.882822902796272,0,3
Khaleel Ahmed,161.6,1402,57,24.596491228070175,17.010526315789473,8.675742574257425,0,8
Mukesh Kumar,31.0,326,7,46.57142857142857,26.571428571428573,10.516129032258064,0,0
Chetan Sakariya,71.0,599,20,29.95,21.3,8.43661971830986,0,2
Axar Patel,471.5,3421,112,30.544642857142858,25.258928571428573,7.255567338282079,0,4
Kuldeep Yadav,247.6,2016,71,28.3943661971831,20.92394366197183,8.1421647819063,0,6
Kyle Mayers,7.0,59,0,0.0,0.0,8.428571428571429,0,0
Jaydev Unadkat,322.8,2870,91,31.53846153846154,21.283516483516486,8.8909541511772,2,7
Krishnappa Gowtham,96.0,779,21,37.095238095238095,27.428571428571427,8.114583333333334,0,0
Avesh Khan,167.4,1448,55,26.327272727272728,18.26181818181818,8.649940262843488,0,8
Mark Wood,20.0,179,11,16.272727272727273,10.909090909090908,8.95,1,2
Ravi Bishnoi,191.3,1453,53,27.41509433962264,21.65660377358491,7.595399895452169,0,4
Bhuvneshwar Kumar,592.8,4396,170,25.858823529411765,20.92235294117647,7.41565452091768,2,14
Fazalhaq Farooqi,25.2,227,6,37.833333333333336,25.2,9.007936507936508,0,0
Washington Sundar,170.4,1252,36,34.77777777777778,28.400000000000002,7.347417840375587,0,3
T Natarajan,170.9,1504,48,31.333333333333332,21.3625,8.800468110005852,0,2
Adil Rashid,10.0,91,2,45.5,30.0,9.1,0,0
Umran Malik,81.1,757,29,26.103448275862068,16.779310344827586,9.33415536374846,1,4
Trent Boult,334.5,2787,105,26.542857142857144,19.114285714285714,8.331838565022421,0,7
KM Asif,22.1,231,7,33.0,18.942857142857147,10.452488687782806,0,0
Jason Holder,165.1,1461,53,27.566037735849058,18.69056603773585,8.849182313749242,0,8
Ravichandran Ashwin,697.0,4902,171,28.666666666666668,24.45614035087719,7.032998565279771,0,8
Yuzvendra Chahal,527.7,4056,187,21.689839572192515,16.93155080213904,7.686185332575326,1,19
Navdeep Saini,109.4,974,23,42.34782608695652,28.539130434782614,8.90310786106033,0,1
Mohammed Siraj,271.79999999999995,2326,78,29.82051282051282,20.907692307692304,8.55776306107432,0,6
Reece Topley,2.0,14,1,14.0,12.0,7.0,0,0
Akash Deep,23.5,264,6,44.0,23.5,11.23404255319149,0,1
Harshal Patel,309.5,2672,111,24.07207207207207,16.72972972972973,8.633279483037157,1,11
Karn Sharma,223.1,1833,69,26.565217391304348,19.4,8.216046615867324,0,4
Michael Bracewell,11.0,95,6,15.833333333333334,11.0,8.636363636363637,0,0
Glenn Maxwell,140.8,1174,31,37.87096774193548,27.25161290322581,8.338068181818182,0,0
Jason Behrendorff,61.0,552,19,29.05263157894737,19.263157894736842,9.049180327868852,0,2
Arshad Khan,13.700000000000001,190,5,38.0,16.44,13.86861313868613,0,1
Jofra Archer,156.9,1171,48,24.395833333333332,19.6125,7.463352453792224,0,6
Piyush Chawla,604.8,4796,179,26.793296089385475,20.27262569832402,7.92989417989418,0,13
Cameron Green,38.0,361,6,60.166666666666664,38.0,9.5,0,0
Hrithik Shokeen,34.0,314,5,62.8,40.8,9.235294117647058,0,0
Krunal Pandya,320.4,2351,70,33.58571428571429,27.462857142857143,7.3377028714107375,0,6
Yash Thakur,31.5,289,13,22.23076923076923,14.538461538461538,9.174603174603174,0,2
Ben Stokes,114.5,992,28,35.42857142857143,24.535714285714285,8.663755458515285,0,3
Moeen Ali,117.8,822,33,24.90909090909091,21.418181818181818,6.977928692699491,0,3
Anrich Nortje,153.0,1280,53,24.150943396226417,17.32075471698113,8.366013071895425,0,3
Mitchell Marsh,84.8,692,36,19.22222222222222,14.133333333333333,8.160377358490566,0,3
David Willey,36.0,272,6,45.333333333333336,36.0,7.555555555555555,0,0
Shahbaz Ahmed,62.0,567,14,40.5,26.571428571428573,9.14516129032258,0,1
Suyash Sharma,39.0,321,10,32.1,23.4,8.23076923076923,0,1
Deepak Hooda,59.1,509,10,50.9,35.46,8.612521150592217,0,0
Amit Mishra,559.1,4125,173,23.84393063583815,19.390751445086707,7.377928814165623,1,17
Aiden Markram,18.1,157,2,78.5,54.300000000000004,8.67403314917127,0,0
Rovman Powell,3.0,35,1,35.0,18.0,11.666666666666666,0,0
Sandeep Sharma,431.40000000000003,3398,124,27.403225806451612,20.874193548387098,7.876680574872507,0,11
Murugan Ashwin,144.60000000000002,1162,35,33.2,24.788571428571434,8.035961272475793,0,2
Sisanda Magala,6.0,51,1,51.0,36.0,8.5,0,0
Dwaine Pretorius,25.0,238,6,39.666666666666664,25.0,9.52,0,0
Kumar Kartikeya,39.0,329,10,32.9,23.4,8.435897435897436,0,0
Lockie Ferguson,134.3,1171,37,31.64864864864865,21.77837837837838,8.7192851824274,0,4
Marco Jansen,65.0,586,19,30.842105263157894,20.526315789473685,9.015384615384615,0,1
Mayank Markande,98.0,810,29,27.93103448275862,20.275862068965516,8.26530612244898,0,3
Mohit Rathee,2.0,29,0,0.0,0.0,14.5,0,0
Wayne Parnell,119.5,937,35,26.771428571428572,20.485714285714284,7.841004184100418,0,4
Riley Meredith,63.6,612,19,32.21052631578947,20.08421052631579,9.622641509433961,0,0
Tilak Varma,3.0,20,0,0.0,0.0,6.666666666666667,0,0
Mustafizur Rahman,180.4,1444,47,30.72340425531915,23.029787234042555,8.004434589800443,0,5
Lalit Yadav,45.0,369,10,36.9,27.0,8.2,0,0
Akash Singh,23.0,227,5,45.4,27.6,9.869565217391305,0,0
Maheesh Theekshana,84.0,653,23,28.391304347826086,21.91304347826087,7.773809523809524,0,2
Kuldeep Sen,27.700000000000003,265,8,33.125,20.775000000000002,9.566787003610107,0,1
Adam Zampa,69.5,558,29,19.24137931034483,14.379310344827585,8.028776978417266,1,3
Mohit Sharma,334.29999999999995,2831,119,23.789915966386555,16.855462184873947,8.468441519593181,1,14
Kagiso Rabada,259.8,2198,106,20.735849056603772,14.705660377358493,8.460354118552733,0,11
